GRANDES	PROPN	grand
en	ADP	en
France	PROPN	france
que	SCONJ	que
le	DET	le
dit	VERB	dire
roy	NOUN	roi
Pierre	PROPN	piere
estoit	VERB	estre
avecques	ADP	avec
le	DET	le
prince	NOUN	prince
en	ADP	en
Gascoigne	PROPN	gascogne
,	PUNCT	,
et	CCONJ	et
fist	VERB	faire
aliances	NOUN	aleandre
avecques	ADP	avec
li	DET	le
,	PUNCT	,
et	CCONJ	et
donna	VERB	donner
au	ADP.DET	a.le
dit	VERB	dire
prince	NOUN	prince
grant	ADJ	grant
foison	NOUN	foison
d'	ADP	de
or	NOUN	or
et	CCONJ	et
de	ADP	de
riches	ADJ	riche
joyaux	NOUN	joyau
,	PUNCT	,
et	CCONJ	et
par	ADP	par
ce	PRON	ce
ycelui	DET	cil
prince	NOUN	prince
li	DET	le
promist	VERB	prometre
que	SCONJ	que
il	PRON	il
li	DET	le
aideroit	VERB	aidier
à	ADP	à
recouvrer	VERB	recouvrer
son	DET	son
pays	NOUN	pays
,	PUNCT	,
et	CCONJ	et
fist	VERB	faire
ycelui	DET	cil
prince	NOUN	prince
grant	ADJ	grant
semonce	NOUN	semondre
de	ADP	de
genz	NOUN	gent
d'	ADP	de
armes	NOUN	arme
pour	ADP	pour
mener	VERB	mener
en	ADP	en
Castelle	NOUN	châtelle
,	PUNCT	,
avecques	ADP	avec
le	DET	le
dit	VERB	dire
roy	NOUN	roi
Pierre	PROPN	piere
,	PUNCT	,
et	CCONJ	et
par	ADP	par
pluseurs	DET	plusieurs
foiz	NOUN	foi
les	DET	le
contremanda	VERB	contremander
.	PUNCT	.
De	ADP	de
l'	DET	le
omage	NOUN	ogage
que	SCONJ	que
Jehan	PROPN	jean
de	ADP	de
Montfort	NOUN	monttre
fist	VERB	faire
au	ADP.DET	a.le
roy	NOUN	roi
de	ADP	de
France	PROPN	france
du	ADP.DET	de.le
duché	NOUN	duché
de	ADP	de
Bretaigne	PROPN	bretagne
,	PUNCT	,
et	CCONJ	et
comment	ADV	comment
la	DET	le
femme	NOUN	femme
du	ADP.DET	de.le
dit	VERB	dire
Charles	PROPN	charles
y	ADV	y
renonça	VERB	renompance
.	PUNCT	.
L'	DET	le
an	ADP	en
dessus	ADV	dessus
dit	VERB	dire
mil	DET	mil
CCC	DET	cect
LXVI	DET	levriz
,	PUNCT	,
ou	CCONJ	ou
mois	NOUN	mois
de	ADP	de
decembre	NOUN	dececer
,	PUNCT	,
c'	CCONJ	ce
est	VERB	estre
asavoir	VERB	assavoir
le	DET	le
XIIIe	ADJ	unité
jour	NOUN	jour
,	PUNCT	,
le	DET	le
dit	VERB	dire
messire	NOUN	seignor
Jehan	PROPN	jean
de	ADP	de
Montfort	NOUN	monttre
,	PUNCT	,
lors	ADV	lors
duc	NOUN	duc
de	ADP	de
Bretaingne	PROPN	bretagne
,	PUNCT	,
par	ADP	par
le	DET	le
traictié	VERB	traité
dont	PRON	dont
dessus	ADV	dessus
est	VERB	estre
faicte	VERB	faire
mencion	NOUN	mencion
,	PUNCT	,
fist	VERB	faire
homaige	NOUN	hommage
lige	ADJ	lige
à	ADP	à
Paris	PROPN	paris
,	PUNCT	,
au	ADP.DET	a.le
roy	NOUN	roi
de	ADP	de
France	PROPN	france
Charles	PROPN	charles
,	PUNCT	,
du	ADP.DET	de.le
duchié	NOUN	duché
de	ADP	de
Bretaigne	PROPN	bretagne
et	CCONJ	et
de	ADP	de
toutes	DET	tout
les	DET	le
autres	PRON	autre
terres	NOUN	terre
que	SCONJ	que
il	PRON	il
tenoit	VERB	tenir
ou	CCONJ	ou
royaume	NOUN	royaume
de	ADP	de
France	PROPN	france
.	PUNCT	.
Et	CCONJ	et
se	PRON	se
parti	VERB	partir
du	ADP.DET	de.le
Roy	NOUN	roi
en	ADP	en
bonne	ADJ	bon
grace	NOUN	grace
et	CCONJ	et
amour	NOUN	amour
que	SCONJ	que
l'	DET	le
un	DET	un
avoit	VERB	avoir
à	ADP	à
l'	DET	le
autre	ADJ	autre
,	PUNCT	,
si	ADV	si
comme	SCONJ	comme
il	PRON	il
sembloit	VERB	sembler
;	PUNCT	;
et	CCONJ	et
si	ADV	si
li	DET	le
fist	VERB	faire
le	DET	le
Roy	NOUN	roi
de	ADP	de
beaux	ADJ	beau
dons	NOUN	donc
de	ADP	de
joyaux	NOUN	joyau
et	CCONJ	et
de	ADP	de
chevaux	NOUN	cheval
.	PUNCT	.
Et	CCONJ	et
en	ADP	en
celui	DET	cel
mesmes	ADJ	même
temps	NOUN	temps
la	DET	le
duchesse	NOUN	duchés
,	PUNCT	,
femme	NOUN	femme
du	ADP.DET	de.le
duc	NOUN	duc
mort	NOUN	mort
en	ADP	en
la	DET	le
bataille	NOUN	bataille
dessus	ADV	dessus
dicte	VERB	dire
,	PUNCT	,
rattefia	VERB	ratefoit
,	PUNCT	,
en	ADP	en
sa	DET	son
personne	NOUN	personne
,	PUNCT	,
au	ADP.DET	a.le
dit	VERB	dire
duc	NOUN	duc
de	ADP	de
Bretaigne	PROPN	bretagne
,	PUNCT	,
en	ADP	en
la	DET	le
presence	NOUN	présence
du	ADP.DET	de.le
Roy	NOUN	roi
et	CCONJ	et
de	ADP	de
son	DET	son
conseil	NOUN	conseil
,	PUNCT	,
le	DET	le
traictié	VERB	traité
fait	VERB	faire
par	ADP	par
le	DET	le
sire	NOUN	seignor
de	ADP	de
Beaumanoir	PROPN	beaumenaupe
et	CCONJ	et
les	DET	le
autres	PRON	autre
ses	DET	son
procureurs	NOUN	proupquerus
dessus	ADV	dessus
escrips	NOUN	écrire
,	PUNCT	,
en	ADP	en
renonçant	NOUN	renompance
au	ADP.DET	a.le
dit	VERB	dire
duchié	NOUN	duché
par	ADP	par
la	DET	le
maniere	NOUN	manière
que	SCONJ	que
il	PRON	il
avoit	VERB	avoir
esté	VERB	être
traictié	VERB	traité
,	PUNCT	,
en	ADP	en
requerant	VERB	requerre
au	ADP.DET	a.le
Roy	NOUN	roi
que	SCONJ	que
ainsi	ADV	ainsi
le	DET	le
confermast	NOUN	confermer
et	CCONJ	et
pronunçast	VERB	proncier
,	PUNCT	,
en	ADP	en
force	NOUN	force
et	CCONJ	et
vertu	NOUN	vertu
d'	ADP	de
arrest	NOUN	arrêt
.	PUNCT	.
Et	CCONJ	et
ainsi	ADV	ainsi
fu	VERB	estre
fait	VERB	faire
et	CCONJ	et
pronuncié	NOUN	pronondre
en	ADP	en
la	DET	le
presence	NOUN	présence
du	ADP.DET	de.le
Roy	NOUN	roi
et	CCONJ	et
des	ADP.DET	de.le
deux	DET	deux
parties	NOUN	partie
,	PUNCT	,
par	ADP	par
messire	NOUN	seignor
Jehan	PROPN	jean
de	ADP	de
Dormans	PROPN	dormir
,	PUNCT	,
lors	ADV	lors
evesque	NOUN	évêque
de	ADP	de
Beauvés	PROPN	beaucevour
et	CCONJ	et
chancellier	VERB	chancelier
de	ADP	de
France	PROPN	france
.	PUNCT	.
Item	X	item
,	PUNCT	,
le	DET	le
lundy	NOUN	lundi
XXIe	ADJ	vingt-quatre
jour	NOUN	jour
du	ADP.DET	de.le
dit	VERB	dire
mois	NOUN	mois
de	ADP	de
decembre	NOUN	dececer
,	PUNCT	,
madame	NOUN	mademe
Jehanne	PROPN	jeanne
,	PUNCT	,
fille	NOUN	fille
du	ADP.DET	de.le
dit	VERB	dire
roy	NOUN	roi
de	ADP	de
France	PROPN	france
Charles	PROPN	charles
,	PUNCT	,
mourut	VERB	mourir
à	ADP	à
Paris	PROPN	paris
en	ADP	en
l'	DET	le
ostel	NOUN	hôtel
de	ADP	de
la	DET	le
Conciergerie	VERB	consciger
de	ADP	de
l'	DET	le
ostel	NOUN	hôtel
du	ADP.DET	de.le
Roy	NOUN	roi
,	PUNCT	,
lequel	DET	lequel
hostel	NOUN	hôtel
est	VERB	estre
près	NOUN	près
de	ADP	de
Saint-Pol	PROPN	saint-mar
.	PUNCT	.
Et	CCONJ	et
le	DET	le
mardi	NOUN	mardi
ensuyvant	VERB	ensuivre
fu	VERB	estre
enterrée	VERB	entrer
en	ADP	en
l'	DET	le
eglise	NOUN	église
Saint-Denis	PROPN	saint-denir
en	ADP	en
France	PROPN	france
.	PUNCT	.
Item	X	item
,	PUNCT	,
ou	CCONJ	ou
mois	NOUN	mois
de	ADP	de
fevrier	VERB	fervir
ensuyvant	VERB	ensuivre
,	PUNCT	,
l'	DET	le
an	ADP	en
mil	DET	mil
CCC	DET	cect
LXVI	DET	levriz
dessus	ADV	dessus
dit	VERB	dire
,	PUNCT	,
furent	VERB	estre
apportées	VERB	apporter
nouvelles	NOUN	nouvelle
à	ADP	à
Paris	PROPN	paris
,	PUNCT	,
par	ADP	par
devers	ADP	devers
le	DET	le
Roy	NOUN	roi
de	ADP	de
France	PROPN	france
Charles	PROPN	charles
,	PUNCT	,
que	SCONJ	que
un	DET	un
sien	ADJ	sien
chambellan	NOUN	chambellan
,	PUNCT	,
appellé	VERB	appeler
messire	NOUN	seignor
Jehan	PROPN	jean
de	ADP	de
la	DET	le
Riviere	NOUN	riviere
,	PUNCT	,
lequel	DET	lequel
estoit	VERB	estre
alé	VERB	aler
oultre	ADP	outre
mer	NOUN	mer
environ	ADP	environ
la	DET	le
Nativité	NOUN	nativité
saint	ADJ	saint
Jehan	PROPN	jean
precedent	VERB	prédecent
,	PUNCT	,
estoit	VERB	estre
trespassez	VERB	trespasser
de	ADP	de
ce	PRON	ce
siecle	NOUN	siècle
,	PUNCT	,
à	ADP	à
Fomagoste	PROPN	fommager
ou	CCONJ	ou
royaume	NOUN	royaume
de	ADP	de
Chipre	NOUN	chipre
,	PUNCT	,
environ	ADP	environ
la	DET	le
feste	NOUN	fête
de	ADP	de
Toussains	PROPN	toussenôt
precedent	VERB	prédecent
;	PUNCT	;
de	ADP	de
laquelle	DET	lequel
mort	NOUN	mort
le	DET	le
Roy	NOUN	roi
fu	VERB	estre
moult	ADV	moult
dolent	ADJ	doler
,	PUNCT	,
car	CCONJ	car
il	PRON	il
l'	DET	le
amoit	VERB	amer
moult	ADV	moult
.	PUNCT	.
Et	CCONJ	et
fu	VERB	estre
le	DET	le
corps	NOUN	corps
enterré	VERB	entrer
en	ADP	en
la	DET	le
ville	NOUN	ville
de	ADP	de
Coste	NOUN	coste
,	PUNCT	,
en	ADP	en
laquelle	DET	lequel
l'	DET	le
en	ADP	en
dit	VERB	dire
que	SCONJ	que
sainte	ADJ	saint
Katherine	PROPN	catrevoin
fu	VERB	estre
née	NOUN	naige
,	PUNCT	,
et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
li	DET	le
fist	VERB	faire
faire	VERB	faire
ses	DET	son
obseques	NOUN	obsesque
,	PUNCT	,
moult	ADV	moult
solennels	NOUN	sonelent
et	CCONJ	et
notables	ADJ	notable
,	PUNCT	,
en	ADP	en
l'	DET	le
eglise	NOUN	église
Sainte-Katherine-du-Val-des-Escoliers	PROPN	sentaglement-quentin
,	PUNCT	,
à	ADP	à
Paris	PROPN	paris
,	PUNCT	,
le	DET	le
merquedy	ADJ	merquedorde
XVIIe	DET	sivre
jour	NOUN	jour
du	ADP.DET	de.le
dit	VERB	dire
mois	NOUN	mois
de	ADP	de
fevrier	VERB	fervir
les	DET	le
vigiles	NOUN	vigile
,	PUNCT	,
et	CCONJ	et
le	DET	le
jeudy	NOUN	jeudi
ensuyvant	VERB	ensuivre
,	PUNCT	,
la	DET	le
messe	NOUN	messe
;	PUNCT	;
et	CCONJ	et
y	ADV	y
fu	VERB	estre
le	DET	le
dit	VERB	dire
Roy	NOUN	roi
present	NOUN	présent
,	PUNCT	,
et	CCONJ	et
tous	DET	tout
les	DET	le
prelaz	NOUN	preler
et	CCONJ	et
officiers	NOUN	officier
du	ADP.DET	de.le
Roy	NOUN	roi
estanz	VERB	être
à	ADP	à
Paris	PROPN	paris
.	PUNCT	.
Et	CCONJ	et
en	ADP	en
celui	DET	cel
meismes	ADJ	même
mois	NOUN	mois
de	ADP	de
fevrier	VERB	fervir
furent	VERB	estre
apportées	VERB	apporter
nouvelles	NOUN	nouvelle
en	ADP	en
France	PROPN	france
que	SCONJ	que
,	PUNCT	,
le	DET	le
Ve	ADJ	vëoir
jour	NOUN	jour
du	ADP.DET	de.le
mois	NOUN	mois
de	ADP	de
decembre	NOUN	dececer
precedent	VERB	prédecent
,	PUNCT	,
le	DET	le
roy	NOUN	roi
de	ADP	de
Chipre	NOUN	chipre
et	CCONJ	et
pluseurs	DET	plusieurs
crestiens	NOUN	crestiien
en	ADP	en
sa	DET	son
compaignie	NOUN	compagnie
avoient	VERB	avoir
seconde	ADJ	second
foiz	NOUN	foi
prise	VERB	prendre
la	DET	le
cité	NOUN	cité
d'	ADP	de
Alixandre	PROPN	alixandre
et	CCONJ	et
la	DET	le
tenoient	VERB	tenir
;	PUNCT	;
car	CCONJ	car
l'	DET	le
autre	ADJ	autre
foiz	NOUN	foi
que	SCONJ	que
le	DET	le
dit	VERB	dire
roy	NOUN	roi
de	ADP	de
Chipre	NOUN	chipre
l'	DET	le
avoit	VERB	avoir
prise	VERB	prendre
l'	DET	le
an	ADP	en
precedent	VERB	prédecent
,	PUNCT	,
il	PRON	il
l'	DET	le
avoit	VERB	avoir
tantost	ADV	tantost
laissiée	VERB	laisser
,	PUNCT	,
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
il	PRON	il
n'	ADV	ne
avoit	VERB	avoir
pas	NOUN	pas
assez	ADV	assez
gens	NOUN	gens
pour	ADP	pour
la	DET	le
tenir	VERB	tenir
.	PUNCT	.
Et	CCONJ	et
toutes	DET	tout
voies	NOUN	voie
ne	ADV	ne
fut	VERB	être
ce	PRON	ce
pas	NOUN	pas
vray	ADJ	vrai
,	PUNCT	,
car	CCONJ	car
jasoit	VERB	jasser
ce	PRON	ce
que	SCONJ	que
le	DET	le
dit	VERB	dire
roy	NOUN	roi
de	ADP	de
Chipre	NOUN	chipre
feist	VERB	faire
moult	ADV	moult
grant	ADJ	grant
armée	NOUN	armée
et	CCONJ	et
que	SCONJ	que
avecques	ADP	avec
lui	PRON	lui
feussent	ADJ	faire
grant	ADJ	grant
quantité	NOUN	quantité
de	ADP	de
crestiens	NOUN	crestiien
de	ADP	de
diverses	ADJ	divers
nacions	NOUN	naiscon
,	PUNCT	,
il	PRON	il
ne	ADV	ne
se	PRON	se
traist	VERB	traire
puis	NOUN	puis
vers	ADP	vers
la	DET	le
dite	VERB	dire
ville	NOUN	ville
d'	ADP	de
Alixandre	PROPN	alixandre
,	PUNCT	,
mais	NOUN	mais
fut	VERB	être
fait	VERB	faire
un	DET	un
traictié	VERB	traité
entre	ADP	entre
lui	PRON	lui
et	CCONJ	et
le	DET	le
Soudan	PROPN	soudan
,	PUNCT	,
par	ADP	par
lequel	DET	lequel
ilz	PRON	il
orent	VERB	avoir
unes	DET	un
longues	ADJ	long
treves	NOUN	trever
par	ADP	par
certaine	ADJ	certain
somme	NOUN	somme
de	ADP	de
florins	NOUN	florir
,	PUNCT	,
que	SCONJ	que
le	DET	le
dit	VERB	dire
soudan	NOUN	soudan
en	ADP	en
donna	VERB	donner
au	ADP.DET	a.le
dit	VERB	dire
roy	NOUN	roi
de	ADP	de
Chippre	NOUN	chippip
,	PUNCT	,
si	ADV	si
comme	SCONJ	comme
l'	DET	le
en	ADP	en
disoit	VERB	dire
.	PUNCT	.
Item	X	item
,	PUNCT	,
en	ADP	en
ce	PRON	ce
dit	VERB	dire
mois	NOUN	mois
de	ADP	de
fevrier	VERB	fervir
mil	DET	mil
CCC	DET	cect
LXVI	DET	levriz
dessus	ADV	dessus
dit	VERB	dire
,	PUNCT	,
le	DET	le
prince	NOUN	prince
de	ADP	de
Galles	PROPN	galles
qui	PRON	qui
,	PUNCT	,
si	ADV	si
comme	SCONJ	comme
l'	DET	le
en	ADP	en
disoit	VERB	dire
,	PUNCT	,
avoit	VERB	avoir
receu	VERB	recevoir
grant	ADJ	grant
somme	NOUN	somme
de	ADP	de
florins	NOUN	florir
du	ADP.DET	de.le
dit	VERB	dire
roy	NOUN	roi
Pierre	PROPN	piere
de	ADP	de
Castelle	NOUN	châtelle
pour	ADP	pour
luy	PRON	lui
aidier	VERB	aidier
,	PUNCT	,
passa	VERB	passer
par	ADP	par
le	DET	le
royaume	NOUN	royaume
de	ADP	de
Navarre	PROPN	navaror
,	PUNCT	,
acompaignié	VERB	acompaginer
de	ADP	de
grant	ADJ	grant
nombre	NOUN	nombre
de	ADP	de
gens	NOUN	gens
d'	ADP	de
armes	NOUN	arme
,	PUNCT	,
archiers	NOUN	archer
et	CCONJ	et
autres	PRON	autre
gens	NOUN	gens
de	ADP	de
pié	NOUN	pié
,	PUNCT	,
par	ADP	par
traictié	VERB	traité
que	SCONJ	que
il	PRON	il
fist	VERB	faire
avecques	ADP	avec
le	DET	le
dit	VERB	dire
roy	NOUN	roi
de	ADP	de
Navarre	PROPN	navaror
,	PUNCT	,
pour	ADP	pour
aler	VERB	aler
en	ADP	en
Castelle	NOUN	châtelle
contre	ADP	contre
le	DET	le
dit	VERB	dire
roy	NOUN	roi
Henry	PROPN	henri
.	PUNCT	.
Et	CCONJ	et
toutesvoies	NOUN	toutefois
cuidoit	VERB	cuidier
le	DET	le
dit	VERB	dire
Henry	PROPN	henri
que	SCONJ	que
ycelui	DET	cil
roy	NOUN	roi
de	ADP	de
Navarre	PROPN	navaror
feust	VERB	être
alié	VERB	aler
avecques	ADP	avec
li	DET	le
et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
li	DET	le
avoit	VERB	avoir
donné	VERB	donner
grant	ADJ	grant
somme	NOUN	somme
de	ADP	de
florins	NOUN	florir
.	PUNCT	.
Mais	CCONJ	mais
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
le	DET	le
dit	VERB	dire
prince	NOUN	prince
lui	PRON	lui
en	ADP	en
donna	VERB	donner
aussi	ADV	aussi
,	PUNCT	,
il	PRON	il
se	PRON	se
consenti	VERB	consentir
que	SCONJ	que
le	DET	le
dit	VERB	dire
prince	NOUN	prince
passast	VERB	passer
par	ADP	par
son	DET	son
pays	NOUN	pays
,	PUNCT	,
et	CCONJ	et
ainsi	ADV	ainsi
le	DET	le
fist	VERB	faire
et	CCONJ	et
le	DET	le
dit	VERB	dire
roy	NOUN	roi
Pierre	PROPN	piere
avecques	ADP	avec
lui	PRON	lui
,	PUNCT	,
et	CCONJ	et
entra	VERB	entrer
en	ADP	en
Castelle	NOUN	châtelle
,	PUNCT	,
dont	PRON	dont
le	DET	le
roy	NOUN	roi
de	ADP	de
Navarre	PROPN	navaror
acquist	VERB	acquérir
grant	ADJ	grant
blasme	NOUN	blasme
et	CCONJ	et
deshonneur	NOUN	desconnire
.	PUNCT	.
Comment	ADV	comment
le	DET	le
roy	NOUN	roi
de	ADP	de
Navarre	PROPN	navaror
se	PRON	se
fist	VERB	faire
prendre	VERB	prendre
par	ADP	par
cautelle	NOUN	chautel
.	PUNCT	.
Item	X	item
,	PUNCT	,
le	DET	le
XIIIe	ADJ	unité
jour	NOUN	jour
du	ADP.DET	de.le
mois	NOUN	mois
de	ADP	de
mars	NOUN	marc
ensuyvant	VERB	ensuivre
,	PUNCT	,
un	DET	un
chevalier	NOUN	chevalier
breton	NOUN	breton
,	PUNCT	,
appellé	VERB	appeler
mons	NOUN	mons
.	PUNCT	.
Olivier	PROPN	olivier
de	ADP	de
Mauny	PROPN	maumoin
,	PUNCT	,
prist	VERB	prendre
le	DET	le
dit	VERB	dire
roy	NOUN	roi
de	ADP	de
Navarre	PROPN	navaror
assez	ADV	assez
près	NOUN	près
de	ADP	de
Tudelle	DET	touledi
,	PUNCT	,
et	CCONJ	et
l'	DET	le
en	ADP	en
mena	VERB	mener
prisonnier	NOUN	prisonnier
ou	CCONJ	ou
royaume	NOUN	royaume
d'	ADP	de
Arragon	PROPN	arganze
,	PUNCT	,
et	CCONJ	et
se	PRON	se
fist	VERB	faire
le	DET	le
dit	VERB	dire
roy	NOUN	roi
de	ADP	de
Navarre	PROPN	navaror
prendre	VERB	prendre
par	ADP	par
fraude	NOUN	fraindre
,	PUNCT	,
afin	NOUN	afin
,	PUNCT	,
si	ADV	si
comme	SCONJ	comme
l'	DET	le
en	ADP	en
disoit	VERB	dire
,	PUNCT	,
que	SCONJ	que
il	PRON	il
ne	ADV	ne
passast	VERB	passer
avecques	ADP	avec
le	DET	le
dit	VERB	dire
prince	NOUN	prince
en	ADP	en
Castelle	NOUN	châtelle
.	PUNCT	.
Et	CCONJ	et
assez	ADV	assez
tost	DET	tost
après	ADV	après
,	PUNCT	,
pluseurs	DET	plusieurs
Anglois	PROPN	anglais
et	CCONJ	et
autres	PRON	autre
des	ADP.DET	de.le
gens	NOUN	gens
du	ADP.DET	de.le
dit	VERB	dire
prince	NOUN	prince
,	PUNCT	,
qui	PRON	qui
estoient	VERB	estre
passez	VERB	passer
en	ADP	en
Castelle	NOUN	châtelle
avecques	ADP	avec
lui	PRON	lui
,	PUNCT	,
entrerent	VERB	entrer
ou	CCONJ	ou
royaume	NOUN	royaume
d'	ADP	de
Arragon	PROPN	arganze
,	PUNCT	,
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
le	DET	le
roy	NOUN	roi
d'	ADP	de
Arragon	PROPN	arganze
estoit	VERB	estre
aliez	VERB	aler
du	ADP.DET	de.le
dit	VERB	dire
roy	NOUN	roi
Henry	PROPN	henri
,	PUNCT	,
mais	NOUN	mais
assez	ADV	assez
tost	DET	tost
après	ADV	après
que	SCONJ	que
ilz	PRON	il
y	ADV	y
furent	VERB	estre
entrez	VERB	entrer
,	PUNCT	,
les	DET	le
Arragonnois	PROPN	argandos
leur	DET	leur
coururent	VERB	courrouer
sus	DET	sus
et	CCONJ	et
les	DET	le
desconfirent	VERB	desconfire
,	PUNCT	,
et	CCONJ	et
y	ADV	y
fu	VERB	estre
mort	NOUN	mort
un	DET	un
chevalier	NOUN	chevalier
anglois	NOUN	anglais
,	PUNCT	,
appellé	VERB	appeler
messire	NOUN	seignor
Guillaume	PROPN	guillaume
de	ADP	de
Feleton	NOUN	féloner
,	PUNCT	,
et	CCONJ	et
pluseurs	DET	plusieurs
autres	PRON	autre
jusques	ADP	jusque
au	ADP.DET	a.le
nombre	NOUN	nombre
de	ADP	de
cinq	DET	cinq
cens	DET	cent
et	CCONJ	et
plus	ADV	plus
.	PUNCT	.
De	ADP	de
la	DET	le
prise	VERB	prendre
messire	NOUN	seignor
Bertrand	PROPN	bertrand
du	ADP.DET	de.le
Guesclin	PROPN	galinguessel
et	CCONJ	et
de	ADP	de
pluseurs	DET	plusieurs
autres	PRON	autre
par	ADP	par
les	DET	le
Anglois	PROPN	anglais
,	PUNCT	,
etc	DET	et
.	PUNCT	.
En	ADP	en
celuy	DET	cil
an	ADP	en
mil	DET	mil
CCC	DET	cect
LXVI	DET	levriz
dessus	ADV	dessus
dit	VERB	dire
,	PUNCT	,
le	DET	le
samedi	NOUN	samedi
IIIe	ADJ	istre
jour	NOUN	jour
du	ADP.DET	de.le
mois	NOUN	mois
d'	ADP	de
avril	NOUN	avril
devant	ADP	devant
Pacques	NOUN	pacques
,	PUNCT	,
et	CCONJ	et
fu	VERB	estre
la	DET	le
veille	VERB	veillier
du	ADP.DET	de.le
dymenche	NOUN	dhame
que	SCONJ	que
l'	DET	le
en	ADP	en
chante	VERB	chanter
Judica	PROPN	judideur
,	PUNCT	,
les	DET	le
diz	NOUN	dire
prince	NOUN	prince
et	CCONJ	et
roy	NOUN	roi
Henry	PROPN	henri
et	CCONJ	et
leurs	DET	leur
batailles	NOUN	bataille
se	PRON	se
rencontrerent	VERB	rencontrer
assez	ADV	assez
près	NOUN	près
de	ADP	de
Saint-Dominge	PROPN	saint-moin
et	CCONJ	et
se	PRON	se
combatirent	VERB	combattre
,	PUNCT	,
et	CCONJ	et
là	ADV	là
fu	VERB	estre
le	DET	le
dit	VERB	dire
roy	NOUN	roi
Henry	PROPN	henri
desconfit	VERB	desconfire
et	CCONJ	et
s'	DET	soi
en	ADP	en
parti	VERB	partir
de	ADP	de
la	DET	le
bataille	NOUN	bataille
,	PUNCT	,
et	CCONJ	et
la	DET	le
plus	ADV	plus
grant	ADJ	grant
partie	NOUN	partie
des	ADP.DET	de.le
Castellains	PROPN	châtelain
avecques	ADP	avec
lui	PRON	lui
.	PUNCT	.
Et	CCONJ	et
là	ADV	là
furent	VERB	estre
pris	NOUN	prendre
messire	NOUN	seignor
Bertran	PROPN	bertran
du	ADP.DET	de.le
Guesclin	PROPN	galinguessel
,	PUNCT	,
monseigneur	NOUN	monseigneur
Ernoul	PROPN	ernoudou
d'	ADP	de
Odenehan	PROPN	ondeance
,	PUNCT	,
mareschal	NOUN	maréchal
de	ADP	de
France	PROPN	france
,	PUNCT	,
le	DET	le
Beigue	NOUN	begier
de	ADP	de
Villaines	ADJ	villerie
et	CCONJ	et
aucuns	DET	aucun
autres	PRON	autre
François	PROPN	françon
et	CCONJ	et
Bretons	PROPN	breton
et	CCONJ	et
aussi	ADV	aussi
aucuns	DET	aucun
autres	PRON	autre
Arragonnoys	PROPN	aragne
.	PUNCT	.
Et	CCONJ	et
assez	ADV	assez
tost	DET	tost
après	ADV	après
se	PRON	se
traistrent	VERB	traire
les	DET	le
diz	NOUN	dire
prince	NOUN	prince
et	CCONJ	et
roy	NOUN	roi
Pierre	PROPN	piere
vers	ADP	vers
Burgues	PROPN	bourgue
,	PUNCT	,
et	CCONJ	et
par	ADP	par
traictié	VERB	traité
se	PRON	se
rendyrent	VERB	rendre
ceuls	DET	cil
de	ADP	de
dedenz	ADP	dedenz
et	CCONJ	et
se	PRON	se
mistrent	VERB	mettre
en	ADP	en
l'	DET	le
obeissance	NOUN	obéissance
du	ADP.DET	de.le
dit	VERB	dire
roy	NOUN	roi
Pierre	PROPN	piere
.	PUNCT	.
Item	X	item
,	PUNCT	,
en	ADP	en
celui	DET	cel
temps	NOUN	temps
,	PUNCT	,
le	DET	le
dit	VERB	dire
roy	NOUN	roi
de	ADP	de
Navarre	PROPN	navaror
,	PUNCT	,
qui	PRON	qui
avoit	VERB	avoir
esté	VERB	être
pris	NOUN	prendre
,	PUNCT	,
comme	SCONJ	comme
dit	VERB	dire
est	VERB	estre
,	PUNCT	,
par	ADP	par
messire	NOUN	seignor
Olivier	PROPN	olivier
de	ADP	de
Mauny	PROPN	maumoin
,	PUNCT	,
fu	VERB	estre
delivré	VERB	delivrer
,	PUNCT	,
et	CCONJ	et
il	PRON	il
bailla	VERB	bailler
par	ADP	par
ficcion	NOUN	fichicion
son	DET	son
fil	NOUN	fil
en	ADP	en
ostaige	NOUN	ostage
et	CCONJ	et
trois	DET	trois
chevaliers	NOUN	chevalier
.	PUNCT	.
Comment	ADV	comment
le	DET	le
pape	NOUN	pape
Urbain	PROPN	oubric
entra	VERB	entrer
en	ADP	en
mer	NOUN	mer
pour	ADP	pour
aler	VERB	aler
à	ADP	à
Romme	PROPN	rompre
,	PUNCT	,
et	CCONJ	et
de	ADP	de
la	DET	le
dissencion	NOUN	dissance
de	ADP	de
ceulz	DET	cil
de	ADP	de
Viterbe	NOUN	vitrement
contre	ADP	contre
ses	DET	son
gens	NOUN	gens
,	PUNCT	,
et	CCONJ	et
de	ADP	de
la	DET	le
bataille	NOUN	bataille
qui	PRON	qui
y	ADV	y
fu	VERB	estre
.	PUNCT	.
L'	DET	le
an	ADP	en
de	ADP	de
grace	NOUN	grace
mil	DET	mil
CCC	DET	cect
LXVII	DET	levriz
,	PUNCT	,
le	DET	le
derrenier	VERB	derraine
jour	NOUN	jour
d'	ADP	de
avril	NOUN	avril
,	PUNCT	,
dont	PRON	dont
Pasques	NOUN	passe
furent	VERB	estre
le	DET	le
XVIIIe	DET	vingt-quition
jour	NOUN	jour
