S'	PRO	se
a	ADP	a
l'	DET	le
encontre	ADP	encontre
d'	ADP	de
eulx	PRON	eux
et	CCONJ	et
leur	DET	leur
pria	VERB	priier
que	SCONJ	que
ilz	PRON	il
ne	ADV	ne
celassent	VERB	celer
riens	NOUN	rien
de	ADP	de
la	DET	le
responce	NOUN	répondre
que	SCONJ	que
leur	DET	leur
avoient	VERB	avoir
faicte	VERB	faire
lez	DET	lez
enfans	NOUN	enfant
et	CCONJ	et
ce	PRON	ce
ilz	PRON	il
le	DET	le
laisseroient	VERB	laisser
entrer	VERB	entrer
en	ADP	en
son	DET	son
royaulme	NOUN	royaume
.	PUNCT	.
Les	DET	le
messagiers	NOUN	messagier
respondirent	VERB	répondre
que	SCONJ	que
ilz	PRON	il
ne	ADV	ne
cuydoient	VERB	cuidier
pas	NOUN	pas
que	SCONJ	que
en	ADP	en
tous	DET	tout
lez	DET	lez
gens	NOUN	gens
du	ADP.DET	de.le
monde	NOUN	monde
y	ADV	y
eut	VERB	avoir
si	ADV	si
grant	ADJ	grant
orgueil	NOUN	orgueil
come	SCONJ	come
ilz	PRON	il
avoient	VERB	avoir
trouvé	VERB	trouver
en	ADP	en
sez	VERB	savoir
enfans	NOUN	enfant
la	DET	le
et	CCONJ	et
que	SCONJ	que
il	PRON	il
ne	ADV	ne
s'	DET	soi
en	ADP	en
faillict	NOUN	falir
guieres	NOUN	guire
qu'	SCONJ	que
ilz	PRON	il
ne	ADV	ne
lez	DET	lez
fissent	VERB	faire
destruyre	NOUN	destruire
de	ADP	de
corps	NOUN	corps
et	CCONJ	et
luy	PRON	lui
dirent	VERB	dire
qu'	SCONJ	que
ilz	PRON	il
avoient	VERB	avoir
grande	ADJ	grand
armee	NOUN	armer
que	SCONJ	que
,	PUNCT	,
pour	ADP	pour
quelque	DET	quelque
puissance	NOUN	puissance
qu'	SCONJ	que
il	PRON	il
pult	VERB	pulet
avoir	VERB	avoir
,	PUNCT	,
il	PRON	il
ne	ADV	ne
lez	DET	lez
pourroit	VERB	pouvoir
mectre	VERB	mettre
en	ADP	en
subjection	NOUN	sujette
et	CCONJ	et
que	SCONJ	que
nulle	DET	nul
paix	NOUN	paix
ne	ADV	ne
misericorde	NOUN	miséricorde
ne	ADV	ne
pourroit	VERB	pouvoir
trouver	VERB	trouver
en	ADP	en
eulx	PRON	eux
,	PUNCT	,
se	PRON	se
Nostre	DET	notre
Seigneur	NOUN	seigneur
ne	ADV	ne
faisoit	VERB	faire
evident	VERB	alidence
miracle	NOUN	miralt
.	PUNCT	.
Quant	SCONJ	cant
le	DET	le
roy	NOUN	roi
Clovis	PROPN	clovir
ouyt	VERB	ouïr
sez	VERB	savoir
choses	NOUN	chose
,	PUNCT	,
appella	VERB	appeler
tous	DET	tout
ceulx	PRON	cil
de	ADP	de
son	DET	son
conseil	NOUN	conseil
et	CCONJ	et
leur	DET	leur
dict	VERB	dire
:	PUNCT	:
«	PUNCT	"
Il	PRON	il
me	PRON	je
semble	NOUN	sembler
que	SCONJ	que
tout	DET	tout
nostre	DET	notre
secours	NOUN	secours
et	CCONJ	et
ayde	NOUN	aider
gist	VERB	jesir
en	ADP	en
la	DET	le
main	NOUN	main
de	ADP	de
Nostre	DET	notre
Seigneur	NOUN	seigneur
.	PUNCT	.
Or	ADV	or
soyons	NOUN	estre
doncquez	VERB	donc
tous	DET	tout
assurez	VERB	assurer
et	CCONJ	et
mectons	NOUN	mettre
nostre	DET	notre
esperance	NOUN	espérance
en	ADP	en
luy	PRON	lui
et	CCONJ	et
n'	ADV	ne
ayons	VERB	avoir
nulle	DET	nul
fiance	NOUN	fïance
en	ADP	en
nous	PRON	nous
mesmes	ADJ	même
,	PUNCT	,
car	CCONJ	car
puis	NOUN	puis
que	SCONJ	que
nostre	DET	notre
entreprinse	NOUN	entreprendre
est	VERB	estre
droicte	ADJ	droit
et	CCONJ	et
juste	NOUN	juste
et	CCONJ	et
nous	PRON	nous
la	DET	le
mectons	NOUN	mettre
du	ADP.DET	de.le
tout	DET	tout
sur	ADP	sur
luy	PRON	lui
qui	PRON	qui
est	VERB	estre
tout	DET	tout
puissant	ADJ	poissant
et	CCONJ	et
droit	ADJ	droit
.	PUNCT	.
Il	PRON	il
ne	ADV	ne
fict	VERB	fief
aulcung	DET	aucun
tort	NOUN	tort
a	ADP	a
nully	PRON	nul
,	PUNCT	,
il	PRON	il
nous	PRON	nous
donnera	VERB	donner
sans	NOUN	sans
doubte	NOUN	doute
nostre	DET	notre
droict	NOUN	droit
.	PUNCT	.
Or	ADV	or
lez	DET	lez
allons	NOUN	aller
doncquez	VERB	donc
tout	DET	tout
seurement	NOUN	sûrement
assaillir	VERB	assalir
et	CCONJ	et
combaptre	VERB	combattre
et	CCONJ	et
sachés	VERB	savoir
tout	DET	tout
certainement	NOUN	certainement
que	SCONJ	que
vous	PRON	vous
varrés	ADJ	vorar
que	SCONJ	que
ce	PRON	ce
ilz	PRON	il
estoient	VERB	estre
assez	ADV	assez
plus	ADV	plus
de	ADP	de
gens	NOUN	gens
que	SCONJ	que
nous	PRON	nous
qu'	SCONJ	que
ilz	PRON	il
ne	ADV	ne
pourroient	VERB	pouvoir
resister	VERB	restre
a	ADP	a
Nostre	DET	notre
Seigneur	NOUN	seigneur
qui	PRON	qui
bataillera	VERB	bataille
contre	ADP	contre
eulx	PRON	eux
et	CCONJ	et
sera	VERB	estre
pour	ADP	pour
nous	PRON	nous
et	CCONJ	et
gaignera	VERB	gagner
la	DET	le
bataille	NOUN	bataille
.	PUNCT	.
»	PUNCT	"
Ceulx	DET	cil
qui	PRON	qui
estoient	VERB	estre
avecquez	ADP	avec
le	DET	le
roy	NOUN	roi
n'	ADV	ne
oserent	VERB	oser
oncquez	VERB	onques
desdire	VERB	desdire
son	DET	son
conseil	NOUN	conseil
,	PUNCT	,
mais	NOUN	mais
ce	PRON	ce
seignerent	VERB	seignenir
tous	DET	tout
du	ADP.DET	de.le
signe	NOUN	signe
de	ADP	de
la	DET	le
croix	NOUN	croix
au	ADP.DET	a.le
saulveur	NOUN	sauveur
du	ADP.DET	de.le
monde	NOUN	monde
et	CCONJ	et
s'	DET	soi
en	ADP	en
armerent	VERB	armer
et	CCONJ	et
ce	PRON	ce
mirent	VERB	metre
avecquez	ADP	avec
le	DET	le
roy	NOUN	roi
Clovis	PROPN	clovir
et	CCONJ	et
allerent	VERB	aller
en	ADP	en
bataille	NOUN	bataille
contre	ADP	contre
leurs	DET	leur
ennemys	NOUN	ennemi
,	PUNCT	,
mais	NOUN	mais
premierement	ADV	premierement
le	DET	le
roy	NOUN	roi
envoya	VERB	envoyer
messagiers	NOUN	messagier
vers	ADP	vers
la	DET	le
royne	NOUN	roine
sa	DET	son
femme	NOUN	femme
et	CCONJ	et
luy	PRON	lui
fist	VERB	faire
assavoir	VERB	assavoir
le	DET	le
jour	NOUN	jour
de	ADP	de
la	DET	le
bataille	NOUN	bataille
et	CCONJ	et
luy	PRON	lui
manda	VERB	mander
et	CCONJ	et
pria	VERB	priier
tant	ADV	tant
qu'	SCONJ	que
il	PRON	il
peult	VERB	pouvoir
qu'	SCONJ	que
elle	PRON	elle
lez	DET	lez
secoureut	NOUN	secourir
ad	VERB	avoir
ce	PRON	ce
jour	NOUN	jour
de	ADP	de
tous	DET	tout
ceulx	PRON	cil
qu'	SCONJ	que
elle	PRON	elle
pourroit	VERB	pouvoir
prouchasser	VERB	prochaurer
.	PUNCT	.
Et	CCONJ	et
sur	ADP	sur
toutes	DET	tout
chosez	NOUN	choset
luy	PRON	lui
prioit	VERB	priier
humblement	ADV	humblement
qu'	SCONJ	que
elle	PRON	elle
fist	VERB	faire
larges	ADJ	large
aulmosnes	NOUN	aumass
et	CCONJ	et
qu'	SCONJ	que
elle	PRON	elle
priast	VERB	priier
Nostre	DET	notre
Seigneur	NOUN	seigneur
qu'	SCONJ	que
i	ADV	i
luy	PRON	lui
pleut	NOUN	plaire
de	ADP	de
sa	DET	son
grace	NOUN	grace
disposer	VERB	disposer
du	ADP.DET	de.le
discort	NOUN	dire
qui	PRON	qui
estoit	VERB	estre
entre	ADP	entre
le	DET	le
pere	NOUN	père
et	CCONJ	et
les	DET	le
enfans	NOUN	enfant
que	SCONJ	que
ce	PRON	ce
fuct	NOUN	fucer
au	ADP.DET	a.le
bien	NOUN	bien
de	ADP	de
l'	DET	le
ugne	NOUN	guen
et	CCONJ	et
de	ADP	de
l'	DET	le
aultre	ADJ	autre
partie	NOUN	partie
soubz	NOUN	sous
la	DET	le
grande	ADJ	grand
misericorde	NOUN	miséricorde
de	ADP	de
Dieu	PROPN	dieu
.	PUNCT	.
La	DET	le
bonne	ADJ	bon
royne	NOUN	roine
Bauptheur	NOUN	bauthoup
obeist	NOUN	obéir
du	ADP.DET	de.le
tout	DET	tout
en	ADP	en
tout	DET	tout
aux	ADP.DET	à.le
prieres	NOUN	priier
de	ADP	de
son	DET	son
mary	NOUN	mari
.	PUNCT	.
Le	DET	le
roy	NOUN	roi
aprocha	VERB	aprochier
pres	ADV	près
du	ADP.DET	de.le
lieu	NOUN	lieu
ou	CCONJ	ou
estoient	VERB	estre
ses	DET	son
enfans	NOUN	enfant
et	CCONJ	et
entra	VERB	entrer
en	ADP	en
son	DET	son
royaulme	NOUN	royaume
et	CCONJ	et
en	ADP	en
sa	DET	son
terre	NOUN	terre
et	CCONJ	et
ordonna	VERB	ordonner
ung	DET	un
chastel	NOUN	chastel
estre	VERB	estre
faict	VERB	faire
en	ADP	en
une	DET	un
partie	NOUN	partie
de	ADP	de
son	DET	son
royaulme	NOUN	royaume
.	PUNCT	.
Les	DET	le
enfans	NOUN	enfant
qui	PRON	qui
sez	VERB	savoir
choses	NOUN	chose
ouyrent	VERB	ouïr
assemblerent	VERB	assembler
a	ADP	a
leur	DET	leur
povoir	NOUN	pouvoir
tous	DET	tout
ceulx	PRON	cil
qu'	SCONJ	que
ilz	PRON	il
purent	VERB	pouvoir
et	CCONJ	et
firent	VERB	faire
ung	DET	un
grant	ADJ	grant
cry	NOUN	cri
et	CCONJ	et
une	DET	un
grant	ADJ	grant
noise	NOUN	noise
et	CCONJ	et
vindrent	VERB	venir
moult	ADV	moult
orguilleusement	NOUN	orgoillosement
contre	ADP	contre
leur	DET	leur
pere	NOUN	père
et	CCONJ	et
l'	DET	le
asaillirent	VERB	assalir
et	CCONJ	et
ceulx	PRON	cil
qui	PRON	qui
estoient	VERB	estre
en	ADP	en
son	DET	son
ayde	NOUN	aider
.	PUNCT	.
Le	DET	le
roy	NOUN	roi
qui	PRON	qui
moult	ADV	moult
estoit	VERB	estre
humble	ADJ	humble
en	ADP	en
coeur	NOUN	coeur
tres	ADV	très
asprement	NOUN	assemprer
ce	PRON	ce
mist	VERB	metre
en	ADP	en
armes	NOUN	arme
et	CCONJ	et
batailla	VERB	bataille
si	ADV	si
vertueusement	ADV	vourtonment
et	CCONJ	et
de	ADP	de
si	ADV	si
grant	ADJ	grant
coeur	NOUN	coeur
et	CCONJ	et
nonobstant	DET	nonobstant
que	SCONJ	que
ilz	PRON	il
ne	ADV	ne
fussent	VERB	estre
que	SCONJ	que
une	DET	un
petite	ADJ	petit
cantité	NOUN	chantité
de	ADP	de
gens	NOUN	gens
au	ADP.DET	a.le
regart	NOUN	regart
dez	ADP	dez
aultres	PRON	autre
,	PUNCT	,
ilz	PRON	il
mirent	VERB	metre
lez	DET	lez
plus	ADV	plus
vaillans	ADJ	vaillant
en	ADP	en
fuytte	NOUN	fuite
.	PUNCT	.
Quant	SCONJ	cant
lez	DET	lez
enfans	NOUN	enfant
virent	VERB	vëoir
que	SCONJ	que
ceulx	PRON	cil
en	ADP	en
qui	PRON	qui
avoient	VERB	avoir
leur	DET	leur
fience	NOUN	finece
s'	DET	soi
en	ADP	en
estoient	VERB	estre
fouys	NOUN	fous
,	PUNCT	,
si	ADV	si
eurent	VERB	avoir
grant	ADJ	grant
paour	NOUN	peur
et	CCONJ	et
craignoient	VERB	craindre
qu'	SCONJ	que
ilz	PRON	il
ne	ADV	ne
cheussent	VERB	chesser
aux	ADP.DET	à.le
mains	NOUN	main
de	ADP	de
leur	DET	leur
pere	NOUN	père
et	CCONJ	et
en	ADP	en
sez	VERB	savoir
liens	NOUN	line
.	PUNCT	.
Touteffoys	ADV	toutefois
ne	ADV	ne
demeurerent	VERB	demeurer
guieres	NOUN	guire
qu'	SCONJ	que
ilz	PRON	il
ne	ADV	ne
fussent	VERB	estre
prins	NOUN	prendre
et	CCONJ	et
quant	SCONJ	cant
la	DET	le
bataille	NOUN	bataille
fut	VERB	être
partie	NOUN	partie
et	CCONJ	et
on	PRON	on
eut	VERB	avoir
admené	VERB	amener
lez	DET	lez
deulx	DET	deux
enfans	NOUN	enfant
devant	ADP	devant
leur	DET	leur
pere	NOUN	père
,	PUNCT	,
le	DET	le
roy	NOUN	roi
commanda	VERB	commander
qu'	SCONJ	que
ilz	PRON	il
fussent	VERB	estre
liez	ADJ	lié
.	PUNCT	.
Et	CCONJ	et
puys	NOUN	puis
le	DET	le
roy	NOUN	roi
se	PRON	se
departit	VERB	departir
de	ADP	de
ce	PRON	ce
lieu	NOUN	lieu
et	CCONJ	et
s'	DET	soi
en	ADP	en
vint	VERB	venir
en	ADP	en
France	PROPN	france
et	CCONJ	et
par	ADP	par
tout	DET	tout
ou	CCONJ	ou
il	PRON	il
venoit	VERB	venir
on	PRON	on
luy	PRON	lui
rendoit	VERB	rendre
lez	DET	lez
clefz	NOUN	clef
dez	ADP	dez
citéz	NOUN	cité
,	PUNCT	,
des	ADP.DET	de.le
villes	NOUN	ville
et	CCONJ	et
des	ADP.DET	de.le
chasteaulx	NOUN	château
a	ADP	a
sa	DET	son
voulenté	NOUN	volonté
,	PUNCT	,
lesquellez	DET	lequel
on	PRON	on
avoit	VERB	avoir
garniez	VERB	garnir
pour	ADP	pour
resister	VERB	restre
contre	ADP	contre
luy	PRON	lui
.	PUNCT	.
Nul	DET	nul
ne	ADV	ne
pourroit	VERB	pouvoir
raconter	VERB	raconter
la	DET	le
grant	ADJ	grant
joye	NOUN	joie
que	SCONJ	que
avoit	VERB	avoir
la	DET	le
saincte	ADJ	saint
royne	NOUN	roine
Bauptheur	NOUN	bauthoup
,	PUNCT	,
quant	SCONJ	cant
elle	PRON	elle
sceut	VERB	savoir
les	DET	le
nouvelles	NOUN	nouvelle
.	PUNCT	.
Elle	PRON	elle
se	PRON	se
mist	VERB	metre
a	ADP	a
venir	VERB	venir
a	ADP	a
l'	DET	le
encontre	ADP	encontre
de	ADP	de
son	DET	son
mary	NOUN	mari
et	CCONJ	et
qui	PRON	qui
pouroit	VERB	pouvoir
racompter	VERB	raconter
la	DET	le
grant	ADJ	grant
joye	NOUN	joie
que	SCONJ	que
le	DET	le
roy	NOUN	roi
et	CCONJ	et
la	DET	le
royne	NOUN	roine
eurent	VERB	avoir
,	PUNCT	,
quant	SCONJ	cant
ilz	PRON	il
virent	VERB	vëoir
l'	DET	le
ung	DET	un
l'	DET	le
autre	ADJ	autre
?	PUNCT	?
Le	DET	le
roy	NOUN	roi
ne	ADV	ne
sejourna	VERB	sejourner
guieres	NOUN	guire
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
demandast	VERB	demander
lez	DET	lez
sages	ADJ	sage
de	ADP	de
son	DET	son
royaulme	NOUN	royaume
pour	ADP	pour
juger	VERB	juger
sez	VERB	savoir
enfans	NOUN	enfant
pour	ADP	pour
ce	PRON	ce
qu'	SCONJ	que
ilz	PRON	il
avoient	VERB	avoir
commys	VERB	commettre
selon	ADJ	selon
ce	PRON	ce
que	SCONJ	que
dict	VERB	dire
l'	DET	le
escripture	NOUN	écrituce
:	PUNCT	:
«	PUNCT	"
Filz	NOUN	fil
des	ADP.DET	de.le
hommes	NOUN	homme
,	PUNCT	,
jugés	NOUN	juger
droit	ADJ	droit
»	PUNCT	"
,	PUNCT	,
et	CCONJ	et
leur	DET	leur
demanda	VERB	demander
quel	DET	quel
conseil	NOUN	conseil
ilz	PRON	il
donneroient	VERB	donner
.	PUNCT	.
Ceulx	DET	cil
furent	VERB	estre
moult	ADV	moult
esbays	NOUN	ébahir
et	CCONJ	et
ne	ADV	ne
savoient	VERB	savoir
que	SCONJ	que
respondre	VERB	respondre
au	ADP.DET	a.le
roy	NOUN	roi
fors	ADV	fors
qu'	SCONJ	que
ilz	PRON	il
dirent	VERB	dire
pour	ADP	pour
soy	PRON	soi
excuser	VERB	excuser
que	SCONJ	que
lez	DET	lez
plus	ADV	plus
grans	ADJ	grand
barons	NOUN	baron
et	CCONJ	et
lez	DET	lez
plus	ADV	plus
grans	ADJ	grand
de	ADP	de
France	PROPN	france
n'	ADV	ne
y	ADV	y
estoient	VERB	estre
pas	NOUN	pas
et	CCONJ	et
que	SCONJ	que
sans	NOUN	sans
eulx	PRON	eux
n'	ADV	ne
en	ADP	en
feroient	VERB	faire
pas	NOUN	pas
jugement	NOUN	jugement
.	PUNCT	.
Quant	SCONJ	cant
le	DET	le
roy	NOUN	roi
qui	PRON	qui
moult	ADV	moult
desiroit	VERB	desirrer
ouyr	VERB	ouïr
le	DET	le
jugement	NOUN	jugement
et	CCONJ	et
la	DET	le
responce	NOUN	répondre
des	ADP.DET	de.le
saiges	ADJ	sage
de	ADP	de
son	DET	son
royaulme	NOUN	royaume
vit	VERB	vëoir
qu'	SCONJ	que
ilz	PRON	il
ne	ADV	ne
vouloient	VERB	voloir
faire	VERB	faire
jugement	NOUN	jugement
de	ADP	de
sez	VERB	savoir
enfans	NOUN	enfant
,	PUNCT	,
fist	VERB	faire
assembler	VERB	assembler
tout	DET	tout
le	DET	le
menu	ADJ	menu
conseil	NOUN	conseil
de	ADP	de
France	PROPN	france
et	CCONJ	et
leur	DET	leur
dict	VERB	dire
tout	DET	tout
ce	PRON	ce
qu'	SCONJ	que
il	PRON	il
avoit	VERB	avoir
faict	VERB	faire
aulx	ADP.DET	à.le
aultres	PRON	autre
.	PUNCT	.
Si	ADV	si
furent	VERB	estre
moult	ADV	moult
longuement	ADV	longuement
a	ADP	a
conseil	NOUN	conseil
ensemble	ADV	ensemble
et	CCONJ	et
a	ADP	a
la	DET	le
fin	NOUN	fin
s'	DET	soi
accorderent	VERB	accorder
et	CCONJ	et
dirent	VERB	dire
:	PUNCT	:
«	PUNCT	"
Comment	ADV	comment
mectrons	NOUN	mettre
nous	PRON	nous
jugement	NOUN	jugement
sur	ADP	sur
royalle	NOUN	royalle
lignee	NOUN	lignée
et	CCONJ	et
condampnerions	NOUN	combatre-dan
.	PUNCT	.
Cela	DET	cela
jamés	NOUN	jame
ne	ADV	ne
nous	PRON	nous
adviengne	VERB	advenir
!	PUNCT	!
»	PUNCT	"
Adoncques	ADV	adonc
vindrent	VERB	venir
devant	ADP	devant
le	DET	le
roy	NOUN	roi
et	CCONJ	et
la	DET	le
royne	NOUN	roine
et	CCONJ	et
dirent	VERB	dire
:	PUNCT	:
«	PUNCT	"
Saulve	PROPN	sauveu
la	DET	le
grace	NOUN	grace
du	ADP.DET	de.le
roy	NOUN	roi
et	CCONJ	et
son	DET	son
commendement	NOUN	commandement
,	PUNCT	,
nous	PRON	nous
ne	ADV	ne
presumons	NOUN	présuner
pas	NOUN	pas
de	ADP	de
asseoir	VERB	asseoir
jugement	NOUN	jugement
sur	ADP	sur
royalle	NOUN	royalle
lignee	NOUN	lignée
ne	ADV	ne
sur	ADP	sur
noz	DET	notre
seigneurs	NOUN	seigneur
mesmes	ADJ	même
.	PUNCT	.
Homme	NOUN	homme
mortel	ADJ	mortel
ne	ADV	ne
peult	VERB	pouvoir
ne	ADV	ne
ne	ADV	ne
doibt	VERB	devoir
juger	VERB	juger
de	ADP	de
ce	PRON	ce
,	PUNCT	,
sinon	ADJ	sinon
vous	PRON	vous
mesmes	ADJ	même
deulx	DET	deux
seullement	ADV	seulement
.	PUNCT	.
»	PUNCT	"
Quant	SCONJ	cant
la	DET	le
saincte	ADJ	saint
royne	NOUN	roine
ouyt	VERB	ouïr
que	SCONJ	que
lez	DET	lez
barons	NOUN	baron
et	CCONJ	et
seigneurs	NOUN	seigneur
n'	ADV	ne
en	ADP	en
voullurent	VERB	vouloir
juger	VERB	juger
,	PUNCT	,
si	ADV	si
dict	VERB	dire
devant	ADP	devant
tous	DET	tout
ceulx	PRON	cil
qui	PRON	qui
y	ADV	y
estoient	VERB	estre
:	PUNCT	:
«	PUNCT	"
Il	PRON	il
couvient	VERB	couventier
que	SCONJ	que
chacung	NOUN	chacun
porte	NOUN	porte
la	DET	le
paine	NOUN	peine
de	ADP	de
son	DET	son
peché	NOUN	péché
,	PUNCT	,
soit	VERB	estre
en	ADP	en
ce	PRON	ce
monde	NOUN	monde
cy	ADV	ci
ou	CCONJ	ou
en	ADP	en
l'	DET	le
autre	ADJ	autre
.	PUNCT	.
Et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
les	DET	le
paines	NOUN	peine
de	ADP	de
ce	PRON	ce
monde	NOUN	monde
sont	VERB	estre
plus	ADV	plus
petites	ADJ	petit
que	SCONJ	que
cellez	VERB	cil
de	ADP	de
l'	DET	le
autre	ADJ	autre
et	CCONJ	et
aussy	ADV	aussi
affin	NOUN	afin
que	SCONJ	que
lez	DET	lez
aultres	PRON	autre
filz	NOUN	fil
de	ADP	de
roy	NOUN	roi
y	ADV	y
prenent	VERB	prendre
exemple	NOUN	exemple
et	CCONJ	et
ce	PRON	ce
chastient	VERB	chastiier
de	ADP	de
vouloir	VERB	vouloir
entreprandre	VERB	entreprendre
si	ADV	si
grant	ADJ	grant
crime	NOUN	criembre
contre	ADP	contre
pere	NOUN	père
et	CCONJ	et
mere	NOUN	mere
,	PUNCT	,
moy	PRON	moi
mesmes	ADJ	même
feray	VERB	faire
le	DET	le
jugement	NOUN	jugement
de	ADP	de
mes	DET	mais
enfans	NOUN	enfant
.	PUNCT	.
Pour	ADP	pour
ce	PRON	ce
qu'	SCONJ	que
ilz	PRON	il
vouloient	VERB	voloir
tenir	VERB	tenir
le	DET	le
royaulme	NOUN	royaume
a	ADP	a
force	NOUN	force
contre	ADP	contre
leur	DET	leur
pere	NOUN	père
et	CCONJ	et
mere	NOUN	mere
et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
mesmes	ADJ	même
qu'	SCONJ	que
ilz	PRON	il
renioient	VERB	renier
leur	DET	leur
pere	NOUN	père
,	PUNCT	,
oyans	NOUN	avoir
tous	DET	tout
,	PUNCT	,
moy	PRON	moi
juge	NOUN	juge
,	PUNCT	,
ilz	PRON	il
perdront	VERB	perdre
a	ADP	a
tousjours	ADV	toujours
l'	DET	le
eritage	NOUN	ertre
tel	DET	tel
comme	SCONJ	comme
ilz	PRON	il
debvroient	VERB	debecir
avoir	VERB	avoir
au	ADP.DET	a.le
royaulme	NOUN	royaume
et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
qu'	SCONJ	que
ilz	PRON	il
porterent	VERB	porter
armes	NOUN	arme
contre	ADP	contre
leur	DET	leur
pere	NOUN	père
,	PUNCT	,
je	PRON	je
juge	NOUN	juge
qu'	SCONJ	que
ilz	PRON	il
perdront	VERB	perdre
la	DET	le
force	NOUN	force
et	CCONJ	et
la	DET	le
vertu	NOUN	vertu
du	ADP.DET	de.le
corps	NOUN	corps
.	PUNCT	.
»	PUNCT	"
Le	DET	le
roy	NOUN	roi
Clovis	PROPN	clovir
s'	DET	soi
accorda	VERB	accorder
au	ADP.DET	a.le
jugement	NOUN	jugement
de	ADP	de
la	DET	le
saincte	ADJ	saint
royne	NOUN	roine
.	PUNCT	.
La	DET	le
royne	NOUN	roine
fict	VERB	fief
tantost	ADV	tantost
admener	VERB	amener
devant	ADP	devant
elle	PRON	elle
ses	DET	son
deulz	DET	deux
enfans	NOUN	enfant
et	CCONJ	et
leur	DET	leur
fict	VERB	fief
cuyre	NOUN	cuire
les	DET	le
jarretz	NOUN	jarreté
devant	ADP	devant
tous	DET	tout
ceulx	PRON	cil
qui	PRON	qui
la	DET	le
estoient	VERB	estre
.	PUNCT	.
Les	DET	le
Françoys	PROPN	français
qui	PRON	qui
veoient	VERB	vëoir
ces	DET	ce
choses	NOUN	chose
dirent	VERB	dire
les	DET	le
ungs	DET	un
aux	ADP.DET	à.le
aultres	PRON	autre
par	ADP	par
grande	ADJ	grand
admiracion	NOUN	ambairas
:	PUNCT	:
«	PUNCT	"
He	ADV	he
!	PUNCT	!
Que	CCONJ	que
le	DET	le
coeur	NOUN	coeur
du	ADP.DET	de.le
roy	NOUN	roi
Nostre	DET	notre
Sire	NOUN	seignor
est	VERB	estre
endurcy	NOUN	endurcir
depuys	ADV	depuis
qu'	SCONJ	que
il	PRON	il
ce	PRON	ce
partit	VERB	partir
de	ADP	de
nostre	DET	notre
pays	NOUN	pays
!	PUNCT	!
Comme	SCONJ	comme
peult	VERB	pouvoir
il	PRON	il
endurer	VERB	endurer
que	SCONJ	que
ses	DET	son
filz	NOUN	fil
soient	VERB	estre
ainssi	ADV	ainsi
pugnys	NOUN	pumpir
durement	ADV	durement
devant	ADP	devant
luy	PRON	lui
?	PUNCT	?
»	PUNCT	"
Puys	NOUN	puis
en	ADP	en
aprés	ADP	après
fut	VERB	être
le	DET	le
roy	NOUN	roi
si	ADV	si
redoubté	VERB	redouter
en	ADP	en
France	PROPN	france
que	SCONJ	que
oncquez	VERB	onques
puys	NOUN	puis
nul	DET	nul
ne	ADV	ne
fut	VERB	être
si	ADV	si
hardy	ADJ	hardi
qui	PRON	qui
de	ADP	de
riens	NOUN	rien
osast	VERB	oser
mesprandre	VERB	mesprendre
vers	ADP	vers
luy	PRON	lui
.	PUNCT	.
Les	DET	le
enfans	NOUN	enfant
qui	PRON	qui
eurent	VERB	avoir
receu	VERB	recevoir
celle	DET	cil
sentence	NOUN	sentence
par	ADP	par
le	DET	le
jugement	NOUN	jugement
de	ADP	de
leur	DET	leur
mere	NOUN	mere
la	DET	le
royne	NOUN	roine
la	DET	le
soustindrent	VERB	soudrinde
en	ADP	en
bonne	ADJ	bon
passience	NOUN	passer
et	CCONJ	et
regarderent	VERB	regarder
et	CCONJ	et
considererent	VERB	considérer
qu'	SCONJ	que
ilz	PRON	il
l'	DET	le
avoient	VERB	avoir
bien	NOUN	bien
desservy	VERB	deservir
,	PUNCT	,
car	CCONJ	car
il	PRON	il
ne	ADV	ne
tint	VERB	tenir
pas	NOUN	pas
a	ADP	a
eulx	PRON	eux
qu'	SCONJ	que
ilz	PRON	il
n'	ADV	ne
avoient	VERB	avoir
leur	DET	leur
pere	NOUN	père
faict	VERB	faire
mourir	VERB	mourir
et	CCONJ	et
occis	VERB	occire
.	PUNCT	.
Ilz	PRON	il
prierent	VERB	prier
Nostre	DET	notre
Seigneur	NOUN	seigneur
moult	ADV	moult
devostement	NOUN	défonter
que	SCONJ	que
,	PUNCT	,
a	ADP	a
cause	NOUN	cause
de	ADP	de
ce	PRON	ce
peché	NOUN	péché
,	PUNCT	,
ilz	PRON	il
ne	ADV	ne
fussent	VERB	estre
pas	NOUN	pas
dampnés	NOUN	dempons
eternellement	NOUN	entreementier
et	CCONJ	et
abandonnerent	VERB	abandoner
leur	DET	leur
coeur	NOUN	coeur
et	CCONJ	et
leur	DET	leur
corps	NOUN	corps
au	ADP.DET	a.le
service	NOUN	service
de	ADP	de
leur	DET	leur
createur	NOUN	créateur
en	ADP	en
vigilles	NOUN	vigile
,	PUNCT	,
en	ADP	en
oraisons	NOUN	oraison
,	PUNCT	,
en	ADP	en
aulmosnes	NOUN	aumass
et	CCONJ	et
en	ADP	en
moult	ADV	moult
de	ADP	de
manieres	NOUN	manière
de	ADP	de
abstinences	NOUN	abstencier
de	ADP	de
leur	DET	leur
corps	NOUN	corps
.	PUNCT	.
En	ADP	en
