1400	NOUN	@card@
ipsum	NOUN	pisque
.	PUNCT	.
Vendredi	VERB	vendredi
,	PUNCT	,
IJe	ADJ	ider
jour	NOUN	jour
de	ADP	de
décembre	NOUN	dechevoir
.	PUNCT	.
Au	ADP.DET	a.le
jour	NOUN	jour
d'	ADP	de
ui	ADV	ui
,	PUNCT	,
m'	PRON	je
a	ADP	a
commandé	VERB	commander
monsr	NOUN	monseigneur
le	DET	le
premier	ADJ	premier
president	VERB	prendre
que	SCONJ	que
,	PUNCT	,
quant	SCONJ	cant
aucun	DET	aucun
de	ADP	de
messrs	NOUN	maisson
sera	VERB	estre
envoyez	VERB	envoyer
de	ADP	de
par	ADP	par
la	DET	le
Court	VERB	cour
en	ADP	en
commission	NOUN	compission
,	PUNCT	,
je	PRON	je
ne	ADV	ne
lui	PRON	lui
signe	NOUN	signe
sa	DET	son
commission	NOUN	compission
jucques	ADP	jusque
à	ADP	à
ce	PRON	ce
qu'	SCONJ	que
il	PRON	il
ait	VERB	avoir
rapporté	VERB	rapporter
devers	ADP	devers
moy	PRON	moi
tous	DET	tout
les	DET	le
procès	NOUN	proché
qu'	SCONJ	que
il	PRON	il
a	ADP	a
prinz	NOUN	prendre
à	ADP	à
visiter	VERB	visiter
.	PUNCT	.
Mercredi	PROPN	mercredi
,	PUNCT	,
VIJe	ADJ	sixiex
jour	NOUN	jour
de	ADP	de
decembre	NOUN	dececer
.	PUNCT	.
Ce	PRON	ce
jour	NOUN	jour
,	PUNCT	,
m'	PRON	je
a	ADP	a
enjoint	VERB	enjonir
la	DET	le
Court	VERB	cour
par	ADP	par
maniere	NOUN	manière
d'	ADP	de
advertissement	VERB	avertir
que	SCONJ	que
je	PRON	je
ne	ADV	ne
baille	NOUN	bailler
à	ADP	à
aucuns	DET	aucun
de	ADP	de
messieurs	NOUN	messuit
aucun	DET	aucun
procès	NOUN	proché
à	ADP	à
visiter	VERB	visiter
que	SCONJ	que
touche	NOUN	toucher
aucun	DET	aucun
de	ADP	de
messeigneurs	NOUN	messeigneur
les	DET	le
ducs	NOUN	duc
de	ADP	de
Berry	PROPN	berry
,	PUNCT	,
de	ADP	de
Bourgoigne	PROPN	bourgogne
,	PUNCT	,
oncles	NOUN	oncle
du	ADP.DET	de.le
Roy	NOUN	roi
,	PUNCT	,
et	CCONJ	et
d'	ADP	de
Orleans	PROPN	orlenail
,	PUNCT	,
frere	NOUN	frere
du	ADP.DET	de.le
Roy	NOUN	roi
nostredit	DET	notre
Seigneur	NOUN	seigneur
,	PUNCT	,
ou	CCONJ	ou
Bourbon	PROPN	bourbon
,	PUNCT	,
oncle	NOUN	oncle
dudit	ADP.DET	de.ledit
Seigneur	NOUN	seigneur
,	PUNCT	,
sanz	ADP	sans
en	ADP	en
parler	VERB	parler
à	ADP	à
la	DET	le
Court	VERB	cour
avant	ADV	avant
et	CCONJ	et
pour	ADP	pour
cause	NOUN	cause
.	PUNCT	.
Samedi	PROPN	samedi
,	PUNCT	,
XVIJe	ADJ	vingt-sif
jour	NOUN	jour
de	ADP	de
decembre	NOUN	dececer
.	PUNCT	.
Au	ADP.DET	a.le
jour	NOUN	jour
d'	ADP	de
ui	ADV	ui
,	PUNCT	,
m'	PRON	je
a	ADP	a
esté	VERB	être
enjoint	VERB	enjonir
par	ADP	par
monsr	NOUN	monseigneur
M	PUNCT	me
.	PUNCT	.
H	ADP	ce
.	PUNCT	.
de	ADP	de
Marle	NOUN	marle
que	SCONJ	que
je	PRON	je
enregistrasse	NOUN	engrestrer
que	SCONJ	que
le	DET	le
temps	NOUN	temps
de	ADP	de
bailler	VERB	bailler
contrediz	VERB	contredire
par	ADP	par
Pons	NOUN	peun
de	ADP	de
Cardilhac	PROPN	cardicalit
,	PUNCT	,
vicomte	ADJ	vicomte
de	ADP	de
Murat	PROPN	morir
,	PUNCT	,
à	ADP	à
l'	DET	le
encontre	ADP	encontre
des	ADP.DET	de.le
lettres	NOUN	lettre
produites	NOUN	prodit
par	ADP	par
Renault	PROPN	renaler
de	ADP	de
Murat	PROPN	morir
,	PUNCT	,
a	ADP	a
esté	VERB	être
prorogué	VERB	prourépor
audit	ADV	à.ledit
Pons	NOUN	peun
jusques	ADP	jusque
à	ADP	à
lundi	NOUN	lundi
prouchain	NOUN	prochain
.	PUNCT	.
Vendredi	VERB	vendredi
,	PUNCT	,
XXXe	DET	vingt-quant
jour	NOUN	jour
de	ADP	de
decembre	NOUN	dececer
.	PUNCT	.
Ce	PRON	ce
jour	NOUN	jour
,	PUNCT	,
je	PRON	je
alay	VERB	aller
en	ADP	en
la	DET	le
Chambre	NOUN	chambre
des	ADP.DET	de.le
Enquestes	ADV	enqueste
pour	ADP	pour
savoir	VERB	savoir
se	PRON	se
la	DET	le
conclusion	NOUN	conclure
de	ADP	de
l'	DET	le
arrest	NOUN	arrêt
de	ADP	de
Thiebaut	PROPN	thiebaus
de	ADP	de
Mazeray	PROPN	maräaiz
,	PUNCT	,
d'	ADP	de
une	DET	un
part	NOUN	part
,	PUNCT	,
et	CCONJ	et
les	DET	le
executeurs	NOUN	exceuture
de	ADP	de
Luce	NOUN	luce
et	CCONJ	et
maistre	NOUN	maître
Guillaume	PROPN	guillaume
de	ADP	de
la	DET	le
Fons	NOUN	fonc
,	PUNCT	,
leur	DET	leur
plaisoit	VERB	plaire
,	PUNCT	,
veu	VERB	voir
qu'	SCONJ	que
il	PRON	il
n'	ADV	ne
avoient	VERB	avoir
pas	NOUN	pas
esté	VERB	être
à	ADP	à
conclurre	VERB	conclure
,	PUNCT	,
combien	NOUN	combien
qu'	SCONJ	que
il	PRON	il
eussent	VERB	avoir
esté	VERB	être
au	ADP.DET	a.le
conseiller	VERB	conseillier
,	PUNCT	,
et	CCONJ	et
me	PRON	je
dirent	VERB	dire
que	SCONJ	que
la	DET	le
conclusion	NOUN	conclure
leur	DET	leur
plaisoit	VERB	plaire
bien	NOUN	bien
,	PUNCT	,
laquelle	DET	lequel
est	VERB	estre
ou	CCONJ	ou
vendredi	VERB	vendredi
XVJe	ADJ	sivre
jour	NOUN	jour
de	ADP	de
ce	PRON	ce
present	NOUN	présent
moiz	NOUN	moi
.	PUNCT	.
1402	NOUN	souvent
.	PUNCT	.
Mercredi	PROPN	mercredi
,	PUNCT	,
XVIIJe	ADJ	vingt-quatre
jour	NOUN	jour
de	ADP	de
janvier	NOUN	janifer
.	PUNCT	.
Furent	VERB	estre
au	ADP.DET	a.le
Conseil	NOUN	conseil
messrs	NOUN	maisson
J	PRON	je
.	PUNCT	.
de	ADP	de
Poupaincourt	PROPN	pouvoir
,	PUNCT	,
M	PUNCT	me
.	PUNCT	.
P	CCONJ	pi
.	PUNCT	.
Boschet	PROPN	bochet
,	PUNCT	,
M	PUNCT	me
.	PUNCT	.
H	ADP	ce
.	PUNCT	.
de	ADP	de
Marle	NOUN	marle
,	PUNCT	,
et	CCONJ	et
M	PUNCT	me
.	PUNCT	.
Y	ADP	y
.	PUNCT	.
de	ADP	de
Boisy	PROPN	boisier
,	PUNCT	,
presidens	NOUN	prendre
...	PUNCT	un
.	PUNCT	.
Et	CCONJ	et
avec	ADP	avec
ce	PRON	ce
y	ADV	y
furent	VERB	estre
pluseurs	DET	plusieurs
de	ADP	de
messieurs	NOUN	messuit
des	ADP.DET	de.le
Enquestes	ADV	enqueste
,	PUNCT	,
et	CCONJ	et
fu	VERB	estre
parlé	VERB	parler
de	ADP	de
pluseurs	DET	plusieurs
choses	NOUN	chose
,	PUNCT	,
tant	ADV	tant
de	ADP	de
l'	DET	le
assignation	NOUN	assignagier
des	ADP.DET	de.le
gages	NOUN	gage
de	ADP	de
messieurs	NOUN	messuit
dessusdiz	ADJ	dessus-dit
et	CCONJ	et
autres	PRON	autre
menues	ADJ	menu
besoignes	NOUN	besoignier
.	PUNCT	.
Vendredi	VERB	vendredi
,	PUNCT	,
XXVIIJe	ADJ	vingt-quant
jour	NOUN	jour
de	ADP	de
janvier	NOUN	janifer
.	PUNCT	.
Au	ADP.DET	a.le
jour	NOUN	jour
d'	ADP	de
ui	ADV	ui
,	PUNCT	,
maistre	NOUN	maître
Jehan	PROPN	jean
d'	ADP	de
Aigny	PROPN	aigni
,	PUNCT	,
chanoinne	NOUN	canoine
de	ADP	de
la	DET	le
Saincte	ADJ	saint
Chappelle	NOUN	chapelle
du	ADP.DET	de.le
Palaiz	VERB	palais
,	PUNCT	,
et	CCONJ	et
contreroleur	NOUN	contreuvarse
de	ADP	de
la	DET	le
Chambre	NOUN	chambre
aux	ADP.DET	à.le
Deniers	PROPN	denier
du	ADP.DET	de.le
Roy	NOUN	roi
nostre	DET	notre
Sire	NOUN	seignor
,	PUNCT	,
vint	VERB	venir
à	ADP	à
la	DET	le
Court	VERB	cour
et	CCONJ	et
exposa	VERB	expesse
ce	PRON	ce
que	SCONJ	que
autrefoiz	ADV	autrefois
avoit	VERB	avoir
fait	VERB	faire
,	PUNCT	,
c'	CCONJ	ce
est	VERB	estre
assavoir	VERB	assavoir
que	SCONJ	que
,	PUNCT	,
comme	SCONJ	comme
le	DET	le
Roy	NOUN	roi
nostre	DET	notre
Sire	NOUN	seignor
dessusdit	NOUN	dessus-dit
lui	PRON	lui
eust	VERB	avoir
donné	VERB	donner
l'	DET	le
office	NOUN	office
de	ADP	de
clerc	NOUN	clerc
en	ADP	en
la	DET	le
Chambre	NOUN	chambre
des	ADP.DET	de.le
Comptes	NOUN	compte
,	PUNCT	,
que	SCONJ	que
par	ADP	par
avant	ADV	avant
tenoit	VERB	tenir
maistre	NOUN	maître
Raoul	PROPN	raoul
Witart	PROPN	wettre
,	PUNCT	,
et	CCONJ	et
eust	VERB	avoir
presenté	NOUN	presenter
ses	DET	son
lettres	NOUN	lettre
pour	ADP	pour
les	DET	le
enteriner	VERB	enterner
aux	ADP.DET	à.le
gens	NOUN	gens
de	ADP	de
la	DET	le
Chambre	NOUN	chambre
des	ADP.DET	de.le
Comptes	NOUN	compte
,	PUNCT	,
à	ADP	à
quoy	PRON	quoi
se	PRON	se
avoit	VERB	avoir
opposé	NOUN	opposer
maistre	NOUN	maître
Aymery	PROPN	aimer
Tesson	NOUN	tesson
,	PUNCT	,
et	CCONJ	et
procès	NOUN	proché
eu	VERB	avoir
entre	ADP	entre
lesdictes	DET	ledit
parties	NOUN	partie
,	PUNCT	,
lesdiz	DET	ledit
des	ADP.DET	de.le
Comptes	NOUN	compte
eussent	VERB	avoir
jugié	VERB	jugier
contre	ADP	contre
ledit	DET	ledit
d'	ADP	de
Aigny	PROPN	aigni
au	ADP.DET	a.le
prouffit	NOUN	profit
dudit	ADP.DET	de.ledit
Tesson	NOUN	tesson
,	PUNCT	,
de	ADP	de
laquelle	DET	lequel
sentence	NOUN	sentence
ou	CCONJ	ou
jugement	NOUN	jugement
eust	VERB	avoir
dès	ADP	dès
le	DET	le
XJe	ADJ	disme
jour	NOUN	jour
de	ADP	de
ce	PRON	ce
moiz	NOUN	moi
appellé	VERB	appeler
en	ADP	en
la	DET	le
court	NOUN	cour
de	ADP	de
Parlement	NOUN	parlement
.	PUNCT	.
Et	CCONJ	et
le	DET	le
XIJe	ADJ	signet
jour	NOUN	jour
ensuivant	VERB	ensuivre
,	PUNCT	,
se	PRON	se
fust	VERB	estre
trait	VERB	traire
par	ADP	par
devers	ADP	devers
messire	NOUN	seignor
Arnaut	PROPN	arner
de	ADP	de
Corbie	PROPN	corbie
,	PUNCT	,
Chancellier	VERB	chancelier
,	PUNCT	,
et	CCONJ	et
ly	DET	le
eust	VERB	avoir
requiz	VERB	requérir
qu'	SCONJ	que
il	PRON	il
seellast	VERB	scellé
son	DET	son
adjornement	NOUN	adromenter
en	ADP	en
cas	NOUN	cas
d'	ADP	de
apel	ADP	apeler
,	PUNCT	,
lequel	DET	lequel
eust	VERB	avoir
delayé	NOUN	delaiier
et	CCONJ	et
respondu	VERB	respondre
qu'	SCONJ	que
il	PRON	il
venist	VERB	venir
le	DET	le
landemain	NOUN	landement
,	PUNCT	,
auquel	ADP.PRON	à.lequel
jour	NOUN	jour
pareillement	ADV	pareillement
le	DET	le
delaya	VERB	delaie
et	CCONJ	et
de	ADP	de
jour	NOUN	jour
en	ADP	en
jour	NOUN	jour
.	PUNCT	.
Et	CCONJ	et
au	ADP.DET	a.le
jour	NOUN	jour
d'	ADP	de
ui	ADV	ui
eust	VERB	avoir
requiz	VERB	requérir
que	SCONJ	que
,	PUNCT	,
veu	VERB	voir
ce	PRON	ce
que	SCONJ	que
dit	VERB	dire
est	VERB	estre
,	PUNCT	,
la	DET	le
Court	VERB	cour
lui	PRON	lui
octroyast	VERB	octroyer
et	CCONJ	et
donnast	VERB	donner
adjornement	NOUN	adromenter
en	ADP	en
cas	NOUN	cas
d'	ADP	de
apel	ADP	apeler
,	PUNCT	,
ycelle	DET	cil
,	PUNCT	,
tous	DET	tout
messieurs	NOUN	messuit
des	ADP.DET	de.le
IJ	DET	deus
Chambres	NOUN	chambre
assemblez	VERB	assembler
avec	ADP	avec
le	DET	le
procureur	NOUN	procureur
et	CCONJ	et
advocas	NOUN	avocat
du	ADP.DET	de.le
Roy	NOUN	roi
,	PUNCT	,
a	ADP	a
ordonné	VERB	ordonner
que	SCONJ	que
le	DET	le
procureur	NOUN	procureur
du	ADP.DET	de.le
Roy	NOUN	roi
iroit	VERB	aler
avec	ADP	avec
ledit	DET	ledit
d'	ADP	de
Aigny	PROPN	aigni
demain	ADV	demain
au	ADP.DET	a.le
matin	NOUN	matin
audit	ADV	à.ledit
monsr	NOUN	monseigneur
le	DET	le
Chancellier	VERB	chancelier
,	PUNCT	,
et	CCONJ	et
lui	PRON	lui
requerroit	VERB	requerre
que	SCONJ	que
,	PUNCT	,
veu	VERB	voir
que	SCONJ	que
ledit	DET	ledit
d'	ADP	de
Aigny	PROPN	aigni
ne	ADV	ne
requeroit	VERB	requerre
que	SCONJ	que
justice	NOUN	justicier
,	PUNCT	,
que	SCONJ	que
lui	PRON	lui
seellast	VERB	scellé
sondit	ADJ	sondit
adjornement	NOUN	adromenter
en	ADP	en
cas	NOUN	cas
d'	ADP	de
apel	ADP	apeler
,	PUNCT	,
et	CCONJ	et
ou	CCONJ	ou
cas	NOUN	cas
que	SCONJ	que
ne	ADV	ne
le	DET	le
feroit	VERB	faire
,	PUNCT	,
il	PRON	il
se	PRON	se
pourveroit	VERB	pourvoir
comme	SCONJ	comme
il	PRON	il
appartendroit	VERB	appartenir
.	PUNCT	.
Samedi	PROPN	samedi
,	PUNCT	,
XXVIIJe	ADJ	vingt-quant
jour	NOUN	jour
de	ADP	de
janvier	NOUN	janifer
.	PUNCT	.
Au	ADP.DET	a.le
jour	NOUN	jour
d'	ADP	de
ui	ADV	ui
,	PUNCT	,
le	DET	le
procureur	NOUN	procureur
du	ADP.DET	de.le
Roy	NOUN	roi
et	CCONJ	et
maistre	NOUN	maître
J	PRON	je
.	PUNCT	.
d'	ADP	de
Aigny	PROPN	aigni
,	PUNCT	,
chanoine	NOUN	chanoine
de	ADP	de
la	DET	le
Saincte	ADJ	saint
Chappelle	NOUN	chapelle
,	PUNCT	,
et	CCONJ	et
contrerolleur	NOUN	contreuvaire
de	ADP	de
la	DET	le
Chambre	NOUN	chambre
aux	ADP.DET	à.le
Deniers	PROPN	denier
du	ADP.DET	de.le
Roy	NOUN	roi
nostre	DET	notre
Sire	NOUN	seignor
,	PUNCT	,
sont	VERB	estre
venus	VERB	venir
denuncer	VERB	donner
à	ADP	à
la	DET	le
Court	VERB	cour
qu'	SCONJ	que
il	PRON	il
avoient	VERB	avoir
esté	VERB	être
à	ADP	à
monsr	NOUN	monseigneur
le	DET	le
Chancellier	VERB	chancelier
,	PUNCT	,
auquel	ADP.PRON	à.lequel
ont	VERB	avoir
requiz	VERB	requérir
qu'	SCONJ	que
il	PRON	il
leur	DET	leur
seellast	VERB	scellé
l'	DET	le
adjornement	NOUN	adromenter
en	ADP	en
cas	NOUN	cas
d'	ADP	de
appel	NOUN	appeler
fait	VERB	faire
des	ADP.DET	de.le
gens	NOUN	gens
de	ADP	de
la	DET	le
Chambre	NOUN	chambre
des	ADP.DET	de.le
Comptes	NOUN	compte
,	PUNCT	,
lequel	DET	lequel
avoit	VERB	avoir
pluseurs	DET	plusieurs
foiz	NOUN	foi
delayé	NOUN	delaiier
,	PUNCT	,
combien	NOUN	combien
qu'	SCONJ	que
il	PRON	il
est	VERB	estre
cler	ADJ	clair
que	SCONJ	que
ce	PRON	ce
n'	ADV	ne
est	VERB	estre
que	SCONJ	que
justice	NOUN	justicier
que	SCONJ	que
requeroient	VERB	requerre
,	PUNCT	,
et	CCONJ	et
toutevoie	DET	touteloie
ne	ADV	ne
l'	DET	le
avoit	VERB	avoir
volu	VERB	vouloir
faire	VERB	faire
ancores	NOUN	encore
,	PUNCT	,
lequel	DET	lequel
monsr	NOUN	monseigneur
le	DET	le
Chancellier	VERB	chancelier
respondi	VERB	respondre
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
seelleroit	VERB	secloir
point	NOUN	point
et	CCONJ	et
que	SCONJ	que
messeigneurs	NOUN	messeigneur
les	DET	le
ducs	NOUN	duc
d'	ADP	de
Orleans	PROPN	orlenail
,	PUNCT	,
frere	NOUN	frere
du	ADP.DET	de.le
Roy	NOUN	roi
nostre	DET	notre
dit	VERB	dire
Seigneur	NOUN	seigneur
,	PUNCT	,
et	CCONJ	et
de	ADP	de
Berry	PROPN	berry
et	CCONJ	et
de	ADP	de
Bourgoigne	PROPN	bourgogne
,	PUNCT	,
oncles	NOUN	oncle
dudit	ADP.DET	de.ledit
Seigneur	NOUN	seigneur
,	PUNCT	,
avoient	VERB	avoir
ordonné	VERB	ordonner
à	ADP	à
oïr	VERB	öir
les	DET	le
parties	NOUN	partie
.	PUNCT	.
Et	CCONJ	et
de	ADP	de
rechief	NOUN	rechief_(de)
ledit	DET	ledit
procureur	NOUN	procureur
du	ADP.DET	de.le
Roy	NOUN	roi
,	PUNCT	,
present	NOUN	présent
les	DET	le
maistres	NOUN	maître
des	ADP.DET	de.le
Requestes	PROPN	requête
dudit	ADP.DET	de.ledit
Seigneur	NOUN	seigneur
,	PUNCT	,
ledit	DET	ledit
d'	ADP	de
Aigny	PROPN	aigni
et	CCONJ	et
un	DET	un
chevalier	NOUN	chevalier
envoié	VERB	envoyer
de	ADP	de
par	ADP	par
ledit	DET	ledit
duc	NOUN	duc
d'	ADP	de
Orleans	PROPN	orlenail
pour	ADP	pour
seeller	VERB	sceller
ledit	DET	ledit
adjournement	ADV	adoucer
et	CCONJ	et
dire	VERB	dire
audit	ADV	à.ledit
Chancellier	VERB	chancelier
que	SCONJ	que
l'	DET	le
oppinion	NOUN	opinion
dudit	ADP.DET	de.ledit
d'	ADP	de
Orleans	PROPN	orlenail
estoit	VERB	estre
que	SCONJ	que
le	DET	le
Chancellier	VERB	chancelier
le	DET	le
povoit	VERB	pouvoir
bien	NOUN	bien
seeller	VERB	sceller
,	PUNCT	,
lui	PRON	lui
requist	VERB	requerre
qu'	SCONJ	que
il	PRON	il
seellast	VERB	scellé
ledit	DET	ledit
adjornement	NOUN	adromenter
ou	CCONJ	ou
,	PUNCT	,
si	ADV	si
ne	ADV	ne
le	DET	le
faisoit	VERB	faire
,	PUNCT	,
attendu	VERB	attendre
que	SCONJ	que
lui	PRON	lui
refusoit	VERB	refuser
lettre	NOUN	lettre
de	ADP	de
justice	NOUN	justicier
,	PUNCT	,
il	PRON	il
se	PRON	se
pourverroit	VERB	pourvoir
pour	ADP	pour
le	DET	le
Roy	NOUN	roi
,	PUNCT	,
selon	ADJ	selon
ce	PRON	ce
qu'	SCONJ	que
il	PRON	il
appartendroit	VERB	appartenir
,	PUNCT	,
maiz	NOUN	mais
ce	PRON	ce
nonobstant	DET	nonobstant
n'	ADV	ne
en	ADP	en
volt	VERB	voloir
rien	NOUN	rien
faire	VERB	faire
,	PUNCT	,
pour	ADP	pour
quoy	PRON	quoi
in	PRON	in
subsidium	VERB	subidis
de	ADP	de
justice	NOUN	justicier
requist	VERB	requerre
et	CCONJ	et
aussy	ADV	aussi
fit	VERB	faire
ledit	DET	ledit
d'	ADP	de
Aigny	PROPN	aigni
la	DET	le
Court	VERB	cour
,	PUNCT	,
laquelle	DET	lequel
leur	DET	leur
a	ADP	a
ottroyé	NOUN	otorter
ledit	DET	ledit
adjornement	NOUN	adromenter
,	PUNCT	,
et	CCONJ	et
a	ADP	a
requiz	VERB	requérir
le	DET	le
procureur	NOUN	procureur
du	ADP.DET	de.le
Roy	NOUN	roi
que	SCONJ	que
ce	PRON	ce
fust	VERB	estre
enregistré	VERB	engretrer
.	PUNCT	.
Lundi	PROPN	lundi
,	PUNCT	,
XXXe	DET	vingt-quant
jour	NOUN	jour
de	ADP	de
janvier	NOUN	janifer
,	PUNCT	,
jour	NOUN	jour
de	ADP	de
Plaidoyeries	PROPN	plaitaine
.	PUNCT	.
Et	CCONJ	et
,	PUNCT	,
cedit	DET	cedit
jour	NOUN	jour
,	PUNCT	,
vindrent	VERB	venir
en	ADP	en
la	DET	le
Court	VERB	cour
au	ADP.DET	a.le
matin	NOUN	matin
avant	ADV	avant
les	DET	le
Plaidoieries	PROPN	plaire
le	DET	le
procureur	NOUN	procureur
du	ADP.DET	de.le
Roy	NOUN	roi
et	CCONJ	et
maistre	NOUN	maître
J	PRON	je
.	PUNCT	.
d'	ADP	de
Aigny	PROPN	aigni
,	PUNCT	,
et	CCONJ	et
sur	ADP	sur
la	DET	le
matiere	NOUN	matiere
de	ADP	de
quoy	PRON	quoi
est	VERB	estre
parlé	VERB	parler
samedi	NOUN	samedi
derrenier	VERB	derraine
passé	NOUN	passer
baillerent	VERB	bailler
et	CCONJ	et
presenterent	NOUN	presenter
un	DET	un
adjornement	NOUN	adromenter
en	ADP	en
cas	NOUN	cas
d'	ADP	de
apel	ADP	apeler
fait	VERB	faire
par	ADP	par
ledit	DET	ledit
d'	ADP	de
Aigny	PROPN	aigni
des	ADP.DET	de.le
gens	NOUN	gens
de	ADP	de
la	DET	le
Chambre	NOUN	chambre
des	ADP.DET	de.le
Comptes	NOUN	compte
,	PUNCT	,
avec	ADP	avec
une	DET	un
requeste	NOUN	requête
attachée	VERB	attacher
à	ADP	à
ycellui	DET	cil
adjornement	NOUN	adromenter
,	PUNCT	,
en	ADP	en
disant	VERB	dire
de	ADP	de
bouche	NOUN	bouche
que	SCONJ	que
hier	ADV	ier
ledit	DET	ledit
d'	ADP	de
Aigny	PROPN	aigni
derechief	VERB	derbrece
estoit	VERB	estre
alez	VERB	aler
à	ADP	à
monsr	NOUN	monseigneur
le	DET	le
Chancellier	VERB	chancelier
,	PUNCT	,
auquel	ADP.PRON	à.lequel
aussy	ADV	aussi
messeigneurs	NOUN	messeigneur
les	DET	le
ducs	NOUN	duc
de	ADP	de
Berry	PROPN	berry
et	CCONJ	et
de	ADP	de
Bourgoigne	PROPN	bourgogne
avoient	VERB	avoir
envoié	VERB	envoyer
IJ	DET	deus
de	ADP	de
leurs	DET	leur
gens	NOUN	gens
,	PUNCT	,
c'	CCONJ	ce
est	VERB	estre
assavoir	VERB	assavoir
,	PUNCT	,
le	DET	le
duc	NOUN	duc
de	ADP	de
Bourgoigne	PROPN	bourgogne
le	DET	le
maistre	NOUN	maître
de	ADP	de
sa	DET	son
chapele	NOUN	chapele
,	PUNCT	,
son	DET	son
secretaire	NOUN	secreter
,	PUNCT	,
et	CCONJ	et
Berry	PROPN	berry
un	DET	un
autre	ADJ	autre
,	PUNCT	,
lesquelz	DET	lequel
dirent	VERB	dire
audit	ADV	à.ledit
Chancellier	VERB	chancelier
qu'	SCONJ	que
il	PRON	il
seellast	VERB	scellé
ledit	DET	ledit
adjornement	NOUN	adromenter
,	PUNCT	,
comme	SCONJ	comme
autrefoiz	ADV	autrefois
avoit	VERB	avoir
esté	VERB	être
requiz	VERB	requérir
,	PUNCT	,
veu	VERB	voir
mesmement	ADV	mêmement
que	SCONJ	que
ledit	DET	ledit
Chancellier	VERB	chancelier
avoit	VERB	avoir
dit	VERB	dire
que	SCONJ	que
c'	CCONJ	ce
estoit	VERB	estre
raison	NOUN	raison
,	PUNCT	,
et	CCONJ	et
ce	PRON	ce
aussy	ADV	aussi
requist	VERB	requerre
ledit	DET	ledit
d'	ADP	de
Aigny	PROPN	aigni
en	ADP	en
disant	VERB	dire
que	SCONJ	que
ledit	DET	ledit
Chancellier	VERB	chancelier
avoit	VERB	avoir
dit	VERB	dire
que	SCONJ	que
c'	CCONJ	ce
estoit	VERB	estre
raison	NOUN	raison
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
samedi	NOUN	samedi
derrenier	VERB	derraine
ce	PRON	ce
avoit	VERB	avoir
requiz	VERB	requérir
,	PUNCT	,
et	CCONJ	et
si	ADV	si
avoit	VERB	avoir
envoié	VERB	envoyer
pour	ADP	pour
ce	PRON	ce
devers	ADP	devers
ledit	DET	ledit
Chancellier	VERB	chancelier
monseigneur	NOUN	monseigneur
le	DET	le
duc	NOUN	duc
d'	ADP	de
Orleans	PROPN	orlenail
ledit	DET	ledit
samedi	NOUN	samedi
,	PUNCT	,
lequel	DET	lequel
Chancellier	VERB	chancelier
en	ADP	en
disant	VERB	dire
que	SCONJ	que
s'	DET	soi
il	PRON	il
avoit	VERB	avoir
dit	VERB	dire
que	SCONJ	que
c'	CCONJ	ce
estoit	VERB	estre
raison	NOUN	raison
,	PUNCT	,
c'	CCONJ	ce
estoit	VERB	estre
son	DET	son
oppinion	NOUN	opinion
,	PUNCT	,
refusa	VERB	refuser
iterum	VERB	itre
à	ADP	à
seeller	VERB	sceller
ledit	DET	ledit
adjornement	NOUN	adromenter
.	PUNCT	.
Pour	ADP	pour
quoy	PRON	quoi
requeroient	VERB	requerre
lesdiz	DET	ledit
procureur	NOUN	procureur
et	CCONJ	et
d'	ADP	de
Aigny	PROPN	aigni
ledit	DET	ledit
adjornement	NOUN	adromenter
de	ADP	de
la	DET	le
dicte	VERB	dire
Court	VERB	cour
,	PUNCT	,
attendu	VERB	attendre
le	DET	le
refuz	VERB	refuser
dudit	ADP.DET	de.ledit
Chancellier	VERB	chancelier
.	PUNCT	.
Pour	ADP	pour
quoy	PRON	quoi
la	DET	le
Court	VERB	cour
,	PUNCT	,
attendue	VERB	attendre
sa	DET	son
deliberation	NOUN	délibération
faicte	VERB	faire
de	ADP	de
samedi	NOUN	samedi
derrenier	VERB	derraine
,	PUNCT	,
leur	DET	leur
accorda	VERB	accorder
et	CCONJ	et
respondit	VERB	répondre
à	ADP	à
la	DET	le
requeste	NOUN	requête
:	PUNCT	:
Executetur	DET	exteuctre
per	NOUN	per
prepositum	NOUN	présuption
Parisiensem	PROPN	parsiement
et	CCONJ	et
per	NOUN	per
primum	NOUN	prim
hostiarium	VERB	hôtiaucanition
.	PUNCT	.
Actum	PROPN	atmout
in	PRON	in
Parlamento	NOUN	parlement
,	PUNCT	,
XXX	DET	vingt-sin
a	ADP	a
januarii	ADJ	jangile
CCCCe	DET	ccecier
primo	NOUN	primon
.	PUNCT	.
(	PUNCT	(
Signé	VERB	signer
:	PUNCT	:
)	PUNCT	)
N	PUNCT	ne
.	PUNCT	.
DE	ADP	de
BAYE	PROPN	baie
.	PUNCT	.
Et	CCONJ	et
après	ADV	après
environ	ADP	environ
IX	DET	isce
heures	NOUN	heure
,	PUNCT	,
ce	PRON	ce
dit	VERB	dire
jour	NOUN	jour
,	PUNCT	,
entendiz	VERB	entendre
que	SCONJ	que
l'	DET	le
en	ADP	en
plaidoit	NOUN	plaidir
,	PUNCT	,
allerent	VERB	aller
lesdiz	DET	ledit
prevost	NOUN	prévôt
et	CCONJ	et
huissier	NOUN	huissier
en	ADP	en
la	DET	le
Chambre	NOUN	chambre
des	ADP.DET	de.le
