form	upos	lemma
benement	NOUN	benëer
beneseth	PROPN	benëir
benesquid	ADJ	bainsun
benet	PROPN	benet
benet	NOUN	benet
beneuré	VERB	benëer
beneürée	NOUN	benëir
beneurees	ADJ	beneure
beneurés	PROPN	benoiser
beneuréz	VERB	benëorer
beneurté	ADJ	beneruté
beney	VERB	benëir
beneye	NOUN	benëir
beneysse	ADJ	bénir
beneyst	VERB	bénir
bengabér	VERB	bengage
benie	VERB	benie
benigna	VERB	bengier
bénignement	ADV	bengier
beninement	ADV	benemint
benir	VERB	benir
benistrad	ADJ	besintre
benistrai	ADJ	besintre
benjamín	PROPN	bangier
benlement	NOUN	benelement
bennoite	PROPN	benoît
benoist	VERB	benois
benoist	PROPN	benois
benoites	NOUN	benëir
benóth	PROPN	bengier
benoy	NOUN	benoin
benoysoun	NOUN	benoisnaut
benthanán	PROPN	benecont
benur	NOUN	benor
benurément	ADV	benoîtrement
benurés	ADJ	benorer
beorges	NOUN	boire
berard	PROPN	berdre
berart	PROPN	berrat
berat	NOUN	berte
berbíz	NOUN	berbre
berbys	NOUN	berbis
berceulx	NOUN	breuxel
bercher	VERB	bercher
berchers	NOUN	bercher
berchier	VERB	berchier
berem	PROPN	berme
berfreiz	VERB	berfer
bergers	NOUN	berger
berich	PROPN	berchier
berkesire	PROPN	berser
bernage	NOUN	bernage
bernard	PROPN	bernandre
bernardo	PROPN	bernandre
bernardon	PROPN	bernondre
bernars	PROPN	bernard
berners	NOUN	berner
beroth	PROPN	bertor
berruier	PROPN	berroistre
berruiers	PROPN	berroistre
berry	PROPN	berry
bersault	NOUN	bersart
berstorné	VERB	bersonttre
berstornee	NOUN	bersonter
berstornei	NOUN	bersont
berthe	PROPN	berte
berthelemi	PROPN	brethage
bertholomi	PROPN	breubonagor
bertille	NOUN	bertil
bertrand	PROPN	bertrand
bertrans	PROPN	bertran
bertrem	PROPN	bertre
bervelei	PROPN	bervelle
beryllus	NOUN	breuillos
berzellaï	VERB	bresalagle
berzil	NOUN	bersil
bès	NOUN	bès
besael	NOUN	beau
besagües	NOUN	besage
besaieul	NOUN	beauce
besançon	PROPN	besçancon
besans	NOUN	besant
besanson	PROPN	besnance
besantz	NOUN	besant
bescochiés	NOUN	beschorcier
bescoz	NOUN	bescher
beseléél	PROPN	beselage
beseries	NOUN	beser
besextes	NOUN	beser
besgue	PROPN	besge
besgue	ADJ	besge
besiers	NOUN	baissier
besiez	VERB	baisier
besogne	ADJ	besogne
besoigné	VERB	besoignier
besoignent	VERB	besoignier
besoigneus	ADJ	besoignier
besoignoit	VERB	besoignier
besoingn	NOUN	besoing
besoingnes	NOUN	besoignier
besoingnier	VERB	besoignier
besoingnoit	NOUN	besoignier
besoins	NOUN	besoin
besonge	NOUN	besogne
besongnast	ADJ	besogner
besongne	NOUN	besogne
besongnes	ADJ	besogne
besongneuse	ADJ	besogneur
besongneux	ADJ	besogneux
besongnez	VERB	besogne
besongnié	NOUN	besogner
besongnier	NOUN	besogner
besonious	NOUN	besoingon
besoyng	NOUN	besoin
bessuz	PROPN	besser
bestailz	NOUN	bestail
bestelettez	NOUN	besteleté
besteries	NOUN	besterie
bestez	NOUN	beste
bestiame	NOUN	bestait
bestiaument	ADV	bestaignier
bestïaument	ADV	bestïammois
bestïautei	ADJ	bétifart
bestïauz	NOUN	bestiat
bestornei	VERB	bestont
bestorneir	VERB	besoindre
bestourne	NOUN	besotor
bestourné	VERB	besortaup
bestournent	VERB	besornet
bestourner	VERB	besornettoup
bestournoit	VERB	besorton
besuigne	NOUN	besignier
betayes	VERB	batier
betél	NOUN	beter
beteloye	PROPN	betelloi
betensoient	VERB	bestement
betfage	NOUN	bettre
bethames	NOUN	beauce
bethanie	PROPN	besetibant
bethanie	NOUN	bethachier
bethél	NOUN	beter
betheron	PROPN	betorner
bethfagé	VERB	besfacher
bethfagé	VERB	besfagt
bethfort	PROPN	bestre
bethin	PROPN	betin
bethleant	PROPN	beterce
bethsabéé	VERB	besfage
bethsad	VERB	bestabre
bethsám	PROPN	besthac
bethsamés	PROPN	besthape
bethsechát	PROPN	beschation
béthune	PROPN	betogne
bethzel	NOUN	betsel
betizach	PROPN	betit-che
beubant	NOUN	beaucier
beubanz	NOUN	beaucon
beucope	NOUN	boucher
beüd	VERB	beuf
beuf	ADJ	befu
beuf	NOUN	beuf
beufs	NOUN	besof
beufz	NOUN	boivre
beümes	NOUN	beau
beure	NOUN	boire
beurent	VERB	boire
beust	NOUN	boivre
beut	VERB	boivre
beuvant	NOUN	bevoir
beuvra	VERB	bevorier
beveient	VERB	bevoire
beven	NOUN	bean
beverache	NOUN	bevreache
beverés	NOUN	bevre
bevra	VERB	bevre
bevrés	VERB	bevre
bevrez	VERB	boivre
bevroit	VERB	berfïot
bevront	VERB	beronz
beyre	VERB	baire
beysa	VERB	baisier
beysir	VERB	baisier
beyvre	NOUN	bevrier
bezans	NOUN	beandos
bialté	NOUN	biauté
biamez	VERB	biamet
biauchastel	PROPN	beaucart
biaucop	NOUN	beaucor
biaultei	NOUN	beloiier
biaumont	ADV	beaume
biauvais	PROPN	beauvail
biauveoir	VERB	belëurie
biauvesis	PROPN	beauvois
biavoisis	PROPN	beauvois
bichoteries	NOUN	bichiert
bicias	PROPN	bichier
bién	NOUN	bien
biencourt	PROPN	biencerser
biene	NOUN	bien
bienenrouse	ADJ	beneibre
bieneuré	NOUN	bienverser
bieneureté	NOUN	bienverent
bieneureuses	ADJ	bienuebestre
bienfaict	NOUN	bienfait
bienfaicteur	NOUN	bienfaite
bienfaicteurs	NOUN	bienfait
bienfais	NOUN	bienfait
bienfice	NOUN	bienfif
bienfissez	NOUN	bienfait
biensfaictz	NOUN	bisifart
biensfaiz	NOUN	bienfait
bienveigna	VERB	bienvier
bienvenuz	NOUN	bienvendre
bienviengna	VERB	beine-briner
bienvignierent	VERB	bienierbre
bienvueillans	ADJ	bienveller
bier	NOUN	bier
bierre	NOUN	biere
bieu	ADJ	bieu
bigorre	PROPN	birgore
bigotz	NOUN	biger
biscaye	PROPN	bissace
bisces	NOUN	bisse
bische	PROPN	bisce
bisches	NOUN	bisse
bisextes	NOUN	bisete
bissacs	NOUN	bisser
bithynie	PROPN	bitiigny
bitors	NOUN	bitort
biture	NOUN	biture
biu	NOUN	bieu
biuen	PROPN	bien
biurent	VERB	bire
bizet	PROPN	bient
blafeme	NOUN	blaser
blainville	PROPN	belinablins
blaivies	PROPN	blasie
blak	ADJ	blac
blakehethe	PROPN	blécheste
blakerne	PROPN	blasge
blakie	PROPN	blacier
blakis	PROPN	blasc
blaks	ADJ	blasc
blamai	VERB	blamand
blamé	VERB	blamage
blamera	VERB	blamer
blamons	NOUN	blamme
blan	ADJ	blanc
blanchandrins	PROPN	blancandrin
blanchefort	PROPN	blancher
blanchemain	PROPN	blanchande
blancherne	PROPN	blanchen
blanchetour	PROPN	blanchompre
blancheur	ADJ	blanchum
blanchevile	PROPN	blasmer
blancheville	PROPN	blasmelon
blanchevyle	PROPN	blasphance
blanchez	ADJ	blanc
blancist	ADJ	blanc
blancmostiers	PROPN	blanchompres
blancz	ADJ	blanc
blandine	PROPN	blandon
blandist	NOUN	blandir
blanke	ADJ	blanc
blanket	ADJ	blanc
blanketes	ADJ	blance
blanketz	ADJ	blanc
blanks	ADJ	blanc
blanmont	ADV	blanc
blanquemore	PROPN	blombres
blanville	PROPN	blesin
blapheme	NOUN	blasme
blaquerne	PROPN	blasquende
blaquie	PROPN	blecier
blaretz	NOUN	blart
blarru	ADJ	blaron
blasmat	NOUN	blasmer
blasmés	NOUN	blasme
blasmét	VERB	blasmer
blasméz	VERB	blasmer
blasmoye	NOUN	blasmois
blasmoyes	NOUN	blasme
blasoun	NOUN	blason
blasphemant	NOUN	blashement
blaunche	PROPN	blancun
blaunche	ADJ	blancun
blaunchetour	PROPN	blasongue
blaunchevile	PROPN	blasmedoun
blauncheville	PROPN	blanchuble
blaunchevyle	PROPN	blasmer
blaye	ADJ	blais
blazon	NOUN	blason
blazon	PROPN	blason
blecer	VERB	blecier
blecés	NOUN	blecier
bléceures	NOUN	blécuer
blécié	VERB	blécier
bleciés	VERB	blecier
bléciés	VERB	blésier
bledric	PROPN	blerdic
bledz	NOUN	bled
blefz	NOUN	blesser
blesce	NOUN	blecier
blescé	VERB	blecier
blesille	PROPN	blesser
blesse	ADJ	blesser
blesseüre	NOUN	lévors
blesséz	NOUN	blesser
blesson	NOUN	blés
bleux	ADJ	bleu
blezure	NOUN	blersez
blondez	ADJ	blont
blondial	PROPN	blondion
blondias	PROPN	blondir
blondiaus	PROPN	blondion
bloyes	NOUN	blois
bloyez	PROPN	bloisie
blus	NOUN	blus
boais	NOUN	boias
bobencierement	ADV	bobenchier
bobens	ADJ	bon
bocages	NOUN	bochete
boccus	PROPN	boccut
bocerelx	NOUN	boceler
bochage	PROPN	bochage
bochri	PROPN	bochir
boclovius	PROPN	bouclicquis
bocri	PROPN	bocrir
bocrí	PROPN	bocre
bodeyns	NOUN	boidier
bodloan	PROPN	boudoil
bóe	ADJ	be
boece	NOUN	boecel
boëce	NOUN	boece
boeces	NOUN	boecel
boëces	NOUN	boecle
boefs	NOUN	boef
boelx	ADJ	boelle
boème	PROPN	boiagme
bóes	ADJ	bes
boesdie	NOUN	boeisdre
boesme	ADJ	boeufe
boeux	ADJ	beloe
boffe	NOUN	boffre
bohordent	VERB	borbene
bohorderent	NOUN	boredement
bohorderons	PROPN	bourbonder
bohorderont	PROPN	boredare
bohordot	NOUN	borbosde
boi	NOUN	boi
boialz	NOUN	boialle
boiaus	ADJ	boiau
boidice	PROPN	boidier
boif	NOUN	boivre
bóis	NOUN	bis
boisemant	NOUN	boisement
boisgillon	PROPN	boigligas
boisgillou	PROPN	boisilagn
boisgilloud	PROPN	boigligas
boison	NOUN	boison
boissay	PROPN	boissair
boisy	PROPN	boisier
boiteux	NOUN	boiteux
boiure	NOUN	boire
boive	NOUN	boivre
boivent	NOUN	boivre
bokeler	VERB	boceler
bolli	NOUN	bolir
boloingne	PROPN	boulogne
bolongier	VERB	boulogne
bombardes	NOUN	bombarde
bonauré	ADJ	bonnarbe
bonaurez	ADJ	bonnart
bondice	PROPN	bondice
bondonnize	PROPN	bonnidéner
bondonosse	ADJ	bonnéton
bonefaces	PROPN	bonnété
bónement	NOUN	bonment
bónes	ADJ	bien
boneür	NOUN	bonner
boneuree	ADJ	bonneuret
boneureement	ADV	bonnéement
boneurees	ADJ	bonnée
boneüreus	ADJ	bonnëureté
boneürté	NOUN	bonnété
boneurtez	ADJ	bonnété
bonhomme	ADJ	bonmement
bonnages	ADJ	bonnage
bonnaut	PROPN	bonnet
bonneürté	VERB	bonnété
bonneürté	NOUN	bonnété
bonneürtez	ADJ	bonnété
bonni	PROPN	bon
bontee	NOUN	bonter
bontees	NOUN	bonte
bonuré	VERB	bonner
bonuree	NOUN	bonner
boornes	NOUN	bonor
boóz	ADJ	boiz
boqueaulz	PROPN	boucelle
borbon	ADJ	borbondre
borbonnoiz	PROPN	borbonnait
bord	ADJ	bord
bordeaux	PROPN	bourdeaud
bordeure	NOUN	bordere
bordiaux	PROPN	bourdeux
bordiax	PROPN	bordil
bordure	NOUN	bordore
borgegnon	PROPN	borggone
borgeys	NOUN	borgier
borgogne	PROPN	bourgogne
borgoingne	PROPN	bourgogne
borgoingnons	PROPN	bourgoignon
borgoune	PROPN	borgoge
borgoyne	PROPN	bourgoigne
borgoys	NOUN	borgoison
borguenong	PROPN	bourgogne
borjoys	NOUN	borjois
bormont	ADV	borremon
bornonville	PROPN	bornelant
borreaus	NOUN	borrëor
borz	NOUN	borze
boscaiges	NOUN	baskeagne
boscheti	PROPN	boschetion
bosignes	NOUN	boisgne
bosines	NOUN	bonnis
bosoignablez	NOUN	bosegnier
bosoignez	VERB	bosegier
bosoignous	ADJ	boushagne
bosqueaulx	PROPN	besquelle
bossene	ADJ	boses
bossues	NOUN	bosses
bosuignes	NOUN	bousgne
bosve	NOUN	bosve
bosve	PROPN	bosve
boteaux	NOUN	boteau
boteie	NOUN	boter
boteit	NOUN	boter
boteiz	NOUN	boter
botiler	PROPN	botile
botiller	NOUN	botilletie
botrie	VERB	botre
bouban	NOUN	boubonage
bouban	PROPN	bouchard
boubers	NOUN	bouberque
boucaige	NOUN	bouchage
boucandri	PROPN	bouchardin
bouchars	PROPN	bouchard
bouchart	PROPN	bouchard
boucherie	PROPN	boucherie
boucherie	NOUN	boucherie
bouciquault	PROPN	bouchellog
bouciquaut	PROPN	bouchedlouc
boucqueton	PROPN	boucqueston
boue	ADJ	boel
bouel	NOUN	boel
boueste	NOUN	boeufe
boufe	NOUN	boeuf
bouga	VERB	bouger
bougent	NOUN	bouger
bougeoient	VERB	bouger
bougerai	VERB	bouger
bougeras	VERB	bouger
bougeray	VERB	bouger
bougeroit	VERB	bouger
bougez	VERB	bouge
bougié	VERB	bouger
boujassent	ADJ	bousgement
bouke	ADJ	bouche
boulengiers	NOUN	bougnelier
boulenoiz	PROPN	bonoille
bouleres	NOUN	boulesser
boulerie	PROPN	bouloire
bouleurs	NOUN	bouleur
boulist	VERB	bouloir
boullevart	NOUN	boulevard
boullevert	NOUN	boulevard
bouloigne	PROPN	bouguellon
bouly	NOUN	boilli
bouns	ADJ	bon
bountee	NOUN	bonter
bouquendri	PROPN	boucoideur
bouqueton	PROPN	boucosdemont
bourbon	PROPN	bourbon
bourbonnois	PROPN	bourbonnais
bourbonnoys	PROPN	bourbonnais
bourc	PROPN	bource
bourc	NOUN	bource
bource	NOUN	bource
bources	NOUN	bourse
bourdant	NOUN	bourder
bourdasse	NOUN	bourder
bourde	NOUN	bourde
bourdeaulx	PROPN	bourdel
bourdeaux	PROPN	bourdeux
bourdeloiz	PROPN	bourdelot
bourderesse	NOUN	bourderse
bourderres	NOUN	bourder
bourdes	NOUN	bourde
bourdes	PROPN	bourde
bourdet	PROPN	bourder
bourdeus	NOUN	bourdeux
bourdon	NOUN	bourdon
bourdon	PROPN	bourdon
bourg	NOUN	bourg
bourg	PROPN	bourge
bourgades	NOUN	bourgeau
bourgeois	NOUN	bourgeois
bourgeoise	NOUN	bourgeoisse
bourgeoises	NOUN	bourgeoisse
bourges	PROPN	bourge
bourgez	VERB	bourger
bourgnygnons	PROPN	bourgogne
bourgoigne	PROPN	bourgogne
bourgoignons	PROPN	bourgogne
bourgoingne	PROPN	bourgogne
bourgois	NOUN	bourguison
bourgoises	NOUN	bourgueil
bourgoiz	VERB	bourgois
bourgongne	PROPN	bourgogne
bourgongnon	PROPN	bourgogne
bourgougne	PROPN	bourguegonoron
bourgoune	PROPN	bourgogne
bourguignon	PROPN	bourguignon
bourguignons	PROPN	bourguignon
bourguygnons	PROPN	bourguignon
bourguygnons	NOUN	bourguignon
bourjois	PROPN	bourguison
bourjois	NOUN	bourguison
bourjoys	NOUN	bourguison
bourne	NOUN	bonor
bournieres	PROPN	bournel
bourreletz	NOUN	bourrelet
bourriaulx	NOUN	borruilleux
bours	NOUN	bours
bourse	NOUN	bourse
bourses	NOUN	bourse
bourt	NOUN	bourde
bousoigne	NOUN	boushagune
bousoignes	NOUN	boushogne
bousoigns	NOUN	bousogne
boutee	NOUN	boute
boutée	NOUN	bouter
boute-en-corroie	ADJ	boterconce
bouteilliere	NOUN	boutiers
boutemens	ADJ	boutement
boutèrent	VERB	bouter
boutés	NOUN	bouter
boutillerie	NOUN	boutible
boutilliere	NOUN	boutible
boutiques	NOUN	boutique
boutonier	NOUN	boutoinge
bouttefeu	PROPN	bouterf
bouttés	NOUN	bouter
boutz	NOUN	boter
bouviers	NOUN	bouvoir
boux	ADJ	boul
bovetz	NOUN	bouter
bowe	ADJ	boivre
boweles	PROPN	boleau
boxeleie	PROPN	boleste
boyer	PROPN	boier
boyve	NOUN	boivre
boyvent	NOUN	boivre
boyvre	NOUN	boivre
braas	NOUN	bras
braban	PROPN	braban
brabans	PROPN	braban
brabant	PROPN	brabant
brabenchuns	PROPN	brabanchier
bracees	NOUN	breseac
brach	NOUN	brac
brachies	NOUN	bracies
brachium	VERB	brachion
braçoiez	NOUN	bresfoin
braconniers	NOUN	bracionne
bracy	PROPN	bracie
bradene	PROPN	bradene
brael	NOUN	braille
bragote	NOUN	braget
braiban	PROPN	brabin
braibant	PROPN	brabier
braichel	PROPN	breciel
braichoel	PROPN	braciol
braiechel	PROPN	brevail
braiechoel	PROPN	bravïole
braielle	NOUN	braille
braient	NOUN	braine
brandist	PROPN	brendre
branlart	PROPN	brantagle
braques	NOUN	braque
brasy	PROPN	brais
bratz	NOUN	brat
braun	ADJ	brano
braün	NOUN	bravoir
bray	PROPN	brai
brayerent	VERB	brerabe
brayeul	ADJ	braille
brayez	NOUN	braie
brayre	NOUN	braire
brays	NOUN	brai
breban	PROPN	breban
brebançons	PROPN	brebanchier
breem	NOUN	bree
brefremont	PROPN	breter
bregoignons	PROPN	bragon
brehainge	NOUN	brehagne
brehaingne	ADJ	bresaingne
breis	NOUN	bresie
bremes	NOUN	breme
brere	NOUN	brer
bresel	PROPN	bresel
bresesac	PROPN	breseas
bressay	PROPN	bresais
bressuires	PROPN	bresier
brestesque	NOUN	bresenteux
breszé	VERB	breser
bretaine	PROPN	bretain
bretaygne	PROPN	bretagne
breteigne	PROPN	bretaigne
breteske	NOUN	bretesche
breteskes	NOUN	bretesche
bretigny	PROPN	bretigne
bretoun	PROPN	bretou
brevement	NOUN	brevement
breyne	PROPN	brenie
brezé	NOUN	brez
bricaudel	PROPN	brical
brice	NOUN	brice
brichetz	NOUN	brichetier
brie	NOUN	brief
bríef	NOUN	bref
briefs	NOUN	brief
bríefs	NOUN	bref
briefté	NOUN	brifé
briefvement	PROPN	brefaite
briefves	NOUN	brief
briefveté	NOUN	brifée
briefveté	NOUN	brefaite
brien	NOUN	brien
briens	NOUN	brien
brienz	NOUN	brien
briève	NOUN	brief
brifté	NOUN	brifé
brigans	ADJ	briges
briguefort	PROPN	briger
briket	PROPN	brice
briment	NOUN	briment
brioiz	NOUN	briier
briou	PROPN	briobre
brisastez	NOUN	brisier
brisat	NOUN	brisier
briseré	VERB	briser
brisie	NOUN	brisier
brisiet	NOUN	brisier
brisissiez	VERB	brisier
brisure	NOUN	brisier
brocartz	NOUN	brocherte
broch	NOUN	brochier
brochelers	NOUN	brocher
brochinal	PROPN	brochier
broçonneuses	ADJ	broconel
brodeure	NOUN	broideure
brodeurs	NOUN	brodier
broï	VERB	broi
broillars	NOUN	broillarie
broine	NOUN	broine
broingne	NOUN	broigne
broisset	VERB	breroisse
broiz	NOUN	broit
brokeis	PROPN	brocier
brouetz	NOUN	borréte
broulliz	NOUN	broille
brousacq	PROPN	brochaur
brubille	PROPN	brubil
brubyle	PROPN	brubil
bruere	PROPN	bruer
brugge	PROPN	bruget
bruïst	NOUN	bruit
brulast	NOUN	brulail
bruler	NOUN	brulier
brulerai	VERB	brulier
brumblerio	PROPN	brubaumbre
brumbloremllio	PROPN	brubomaleux
brumbloremllion	PROPN	brubomalon
brunnie	NOUN	brunin
brusléz	NOUN	bruler
brustut	PROPN	brut
bruti	PROPN	bruit
brutus	ADJ	brut
brutz	ADJ	brut
bruyt	NOUN	bruit
bruyz	PROPN	bruit
buech	PROPN	bouche
buee	NOUN	boel
buée	NOUN	boeuf
buefs	NOUN	buef
bueil	PROPN	beloiie
búes	ADJ	bes
bués	NOUN	boeuf
buesars	NOUN	baure
bueves	PROPN	boeufe
buevon	PROPN	beuvornet
bufaté	NOUN	buffer
buffiere	NOUN	buffir
buhotiaus	NOUN	bourbel
bui	ADJ	boivre
búille	NOUN	bille
buillit	VERB	biliadle
buillon	PROPN	belonit
builon	PROPN	belonit
buisemont	ADV	buissement
buisnars	NOUN	buisandre
buiste	NOUN	buiste
buistes	VERB	buisset
buisuinus	NOUN	buissïon
bukingeham	PROPN	bougnigque
bules	PROPN	buel
buletéé	NOUN	bulëert
bulettes	ADJ	buleté
bullettes	ADJ	bulette
buluine	PROPN	blondion
bundist	VERB	bandit
buntez	NOUN	bonter
buona	ADJ	bon
burbayne	PROPN	brubaison
burbugue	PROPN	brubogueu
burdeles	PROPN	brudeux
burdun	NOUN	brudion
bureau	NOUN	bourber
bureaus	NOUN	buraute
burent	NOUN	bourde
buretee	NOUN	burete
burgenses	NOUN	bourgenge
burgoyne	PROPN	bourgoigne
burgs	PROPN	bours
burgues	PROPN	bourgue
burguine	PROPN	bourguignon
burgurs	NOUN	bourguign
burial	NOUN	bruille
burjunent	VERB	bourguignon
burlee	NOUN	bourler
burlée	VERB	bulore
burons	PROPN	bourson
burse	NOUN	bure
burus	PROPN	beroux
bury	PROPN	bury
burzune	NOUN	bourguiz
busine	NOUN	buissine
busíne	ADJ	busond
busines	NOUN	buissin
busínes	ADJ	bonste
busoigne	NOUN	boushagne
busselle	NOUN	buselle
bussels	NOUN	bussel
busshes	NOUN	busse
bussy	PROPN	bussier
busuig	NOUN	bugue
busuign	NOUN	besugnit
busuin	NOUN	besunt
busuinable	NOUN	besublinge
busuinus	ADJ	busoind
busunnus	ADJ	boussunt
busynes	NOUN	bousin
buted	NOUN	bute
buteillier	NOUN	botilef
buteilliers	NOUN	batilletif
butérent	VERB	buter
butinés	NOUN	butif
butiniers	NOUN	butiignye
buttés	NOUN	butte
butum	NOUN	bouthum
buvant	NOUN	bouvant
buvoient	VERB	bouvoir
buvons	ADJ	bouvoir
buvons	PROPN	bouvoir
buvras	VERB	bouvre
buymont	PROPN	birmuement
buysson	NOUN	boussion
byauvais	PROPN	baivre
byauvaiz	PROPN	beauvair
bys	ADJ	bis
bysme	ADJ	bisme
c’		
caaine	NOUN	cavaine
caaines	NOUN	cavenir
caanche	VERB	chancer
caauvles	NOUN	cavelai
cab	NOUN	cab
cabaretz	NOUN	cabatre
cabrieres	NOUN	cariebre
cac	NOUN	cac
caceassent	VERB	chaseauté
cacelouce	NOUN	cacelouche
cachat	VERB	chacier
cachée	NOUN	cacheter
cacherent	VERB	chaceron
cachéz	NOUN	cacher
cachiés	NOUN	chacier
caciés	VERB	chasser
cackez	VERB	cacques
cadegrent	NOUN	cardement
cadelet	VERB	catelet
cadet	PROPN	cadet
cadet	VERB	cader
cadier	VERB	cadité
cadillac	PROPN	cadille
cadit	VERB	cadit
cadmus	DET	camble
cador	PROPN	cadorde
cadwalein	PROPN	cadadaunde
cadwan	PROPN	cadande
caëls	NOUN	celer
caen	X	caen
çaenz	NOUN	çaienz
cætera	VERB	cettre
caf	NOUN	cape
caffa	NOUN	caffer
çafors	NOUN	çafor
çafors	NOUN	pafor
cahors	PROPN	charoe
çahors	NOUN	charo
caï	VERB	chëoir
çaianz	NOUN	cainat
çaianz	NOUN	caine
caicha	VERB	chachier
caiere	NOUN	caiere
caieu	PROPN	cacier
caïfas	PROPN	chavaite
caiiere	NOUN	caiier
caiieres	NOUN	caiier
caillac	PROPN	calieux
cailleu	NOUN	cilail
caillios	NOUN	calir
caillotz	NOUN	calir
caïn	NOUN	chain
caindoit	VERB	caindre
caïns	NOUN	chaindre
çainst	VERB	ceindre
cainture	NOUN	chetion
çainture	NOUN	ceinture
caïrent	VERB	carien
caïst	VERB	chait
çaisus	ADV	cel
caït	VERB	chëoir
caitiu	VERB	catit
caitiveté	NOUN	caitiféefé
caitivitet	NOUN	caitifier
cäïus	DET	cicis
caiz	NOUN	chait
çajus	ADV	chaus
cakenole	NOUN	chancelon
çal	PROPN	pla
calais	PROPN	calais
calamate	PROPN	calatement
calandrice	PROPN	calandir
calans	NOUN	calant
calays	PROPN	calais
calcal	PROPN	calque
calcas	PROPN	calque
calchoir	VERB	cachurir
calciamenta	VERB	caloinmement
calciodorus	PROPN	caloidinque
caldéé	PROPN	calédé
calehorre	PROPN	calefor
calemel	NOUN	calement
calenges	NOUN	chalengle
calengez	VERB	calenge
calenton	PROPN	calente
calés	PROPN	calef
calibuerne	PROPN	calicue
caliphe	VERB	chaloir
calix	NOUN	challe
calkuli	PROPN	callubir
callabre	PROPN	calabre
callenge	NOUN	calleng
callengier	VERB	callengle
calleville	PROPN	callebler
callier	PROPN	calier
calo	NOUN	caloe
calsist	VERB	calis
calvaire	PROPN	calavarie
camble	NOUN	camble
cambray	PROPN	cambrai
cambresis	PROPN	cambre
cambrésis	PROPN	cambrais
cameau	NOUN	cameau
camera	VERB	camer
camille	NOUN	camelil
camise	NOUN	champie
camo	NOUN	camo
camoel	NOUN	camoler
campangne	VERB	campagne
campanie	VERB	champaine
campanis	VERB	champain
campobache	VERB	campobascon
cams	NOUN	camp
canaan	PROPN	canante
cananee	VERB	chanance
canard	NOUN	canardi
canauz	NOUN	chanole
cancelet	VERB	chanceler
cancer	VERB	chancer
cancro	PROPN	chancron
cancrum	X	champreun
cancrum	VERB	champreun
candeilles	NOUN	chantel
candelle	NOUN	chantel
candelou	PROPN	canteunque
candelur	PROPN	canteunc
candiens	PROPN	cantin
caneies	NOUN	chaneile
caneus	NOUN	chandeus
cangeeur	NOUN	cangeleur
cangie	NOUN	cangier
canne	NOUN	canne
cannes	NOUN	cansen
canoines	NOUN	chanoine
canonico	NOUN	canonnier
canoniza	VERB	connaître
canonnier	NOUN	canonnier
cantat	VERB	chanter
cantebruge	ADJ	cantichaure
canteleu	PROPN	chantelle
cantemus	PROPN	cantemp
canten	NOUN	centin
cantendi	VERB	centin
canterbers	PROPN	canter
canterburs	PROPN	canticuer
canteruns	NOUN	chanter
canticum	X	canticum
cantimpré	PROPN	centiphampe
cantomps	NOUN	centmart
cantu	VERB	chenteu
cantumps	NOUN	cent-mut
cantuns	NOUN	chanteun
cantuorbiri	PROPN	cantouil
cantus	NOUN	chanteux
cantus	DET	chanteux
canuthe	VERB	chanteur
canvas	VERB	champale
caoit	VERB	chaort
caours	PROPN	caros
caoursin	PROPN	caoron
caourz	PROPN	caroop
capel	NOUN	capel
capeles	NOUN	capele
capétiens	X	captin
capitalment	NOUN	captier
capitel	NOUN	captil
capitele	NOUN	captier
capitles	NOUN	chatile
capitoille	NOUN	captille
capitoilles	NOUN	captille
capitole	NOUN	captier
capitral	NOUN	capital
capitrals	NOUN	capitle
capitráls	NOUN	captil
capitre	NOUN	capiter
capitulo	ADJ	captil
capitulum	VERB	captil
caplë	NOUN	caple
capleit	VERB	caplet
capleïz	NOUN	capitle
caplent	VERB	challendre
cappella	VERB	capelle
cappitaines	NOUN	capitaine
cappitainne	NOUN	capitaine
cappitaynes	NOUN	capitaine
cappue	NOUN	capel
caprel	PROPN	chapelle
caprena	VERB	carpenar
capricorno	VERB	carphoisie
capricornum	VERB	carphe-chin
capricornus	VERB	carphois
capsám	PROPN	chapes
captal	NOUN	captel
caractères	NOUN	carthème
caractes	NOUN	carthaste
caraitaine	PROPN	caradité
caras	NOUN	carre
carathemens	NOUN	carthage
caratheres	NOUN	carthapène
carboletz	NOUN	carbetel
carbonel	NOUN	carbonie
carbons	NOUN	carçon
carbunculus	PROPN	carbongle
carcad	VERB	cardha
carcassonne	PROPN	carçone
carcassoys	PROPN	carphassel
carchloies	NOUN	charcole
carcloies	NOUN	charlesil
cardilhac	PROPN	cardicalit
cardin	PROPN	cardin
cardinalx	ADJ	cardenaind
cardinalz	ADJ	cartine
cardinaulx	ADJ	cardenail
cardinaux	ADJ	cardenaind
cardineaus	NOUN	cardine
cardineaux	ADJ	cardenaine
cardonne	PROPN	cardonne
cardonneaux	ADJ	carnonde
cardounal	ADJ	cardoner
cardunal	ADJ	cardunal
cardunals	ADJ	cardunal
careat	VERB	carate
caréé	PROPN	caré
carens	NOUN	carin
carentiam	NOUN	carsentement
carettes	NOUN	cartese
caricius	PROPN	caricïos
carintaine	PROPN	carinté
carïot	PROPN	caroit
caripdim	NOUN	cartin
caritables	NOUN	cartaine
caritad	VERB	cartier
carité	NOUN	cartier
cariteit	VERB	cartier
